id,delegateTokens,delegatorTokens,block,blockTime,txnHash,delegate.id,delegator.id
0xa64027-0x2d407ddb06311396fe14d4b49da5f0471447d45c,517152.918985917888597913,388.434720113183860696,10895399,1600554636,0x50c13f9b9eed33f0579bf9fbbfa0a9ddaf51a6844f6fe1c21b182f9548b9fc5f,0x2d407ddb06311396fe14d4b49da5f0471447d45c,0xb1b7ab14e07669e76e74e714e35709dad5ea5816
0xa64047-0xd465be4e63bd09392bac51fcf04aa13412b552d0,0,800.000000000000029254,10895431,1600554988,0x72191c725d0ee248baaeb6c8ee967b5b7291a0bdae7826c2d593641c17c104de,0xd465be4e63bd09392bac51fcf04aa13412b552d0,0xd465be4e63bd09392bac51fcf04aa13412b552d0
0xa6405f-0x2d407ddb06311396fe14d4b49da5f0471447d45c,491208.298093225522547022,11447.483328456597078844,10895455,1600555264,0x492bbe71d7509ec53070ce6266b1d00013d9334cacc8041b7079af9f2819ab0a,0x2d407ddb06311396fe14d4b49da5f0471447d45c,0x1d2026dc4ce6a25a596542829fed4b1489aa3d2d
0xa64063-0xd02bae47fd93325fd0cc3d660b73d8f93c4d7b5e,0,3.437858891301871876,10895459,1600555324,0x807e915be8a79adc69589799fa79f592bb6356c22f1e61d0cf1a910f5bcd0791,0xd02bae47fd93325fd0cc3d660b73d8f93c4d7b5e,0xd02bae47fd93325fd0cc3d660b73d8f93c4d7b5e
0xa64081-0xcff22e710159a38c006a20c7067553fcffaa2589,0,5,10895489,1600555716,0x18593a4300df58c149a981d59c2dd9ca1bfa44c27d056695d2ff9a45e084113a,0xcff22e710159a38c006a20c7067553fcffaa2589,0xcff22e710159a38c006a20c7067553fcffaa2589
0xa64093-0x2d407ddb06311396fe14d4b49da5f0471447d45c,519817.85484009864671217,35918.858317513448195733,10895507,1600556065,0x02fe7c65b4ecb9991ec525ac0c2a09e3332af6ff8d7885fc8cd91ceae6075ae4,0x2d407ddb06311396fe14d4b49da5f0471447d45c,0x88a26a07ac1d80bb6544d85da1c1d6089bc7d39f
0xa64098-0xd5cf5e25f23f466016f2b860d68177418c5a8648,0,485,10895512,1600556104,0xb99d6704d6333934ead1b500f078c0d80f7b59c91b3e8fcb471ddfb47c633aa8,0xd5cf5e25f23f466016f2b860d68177418c5a8648,0xd5cf5e25f23f466016f2b860d68177418c5a8648
0xa6409d-0x549adf7b383a1645f26a2acfe09c5304b679a532,0,200.000572676377184292,10895517,1600556147,0x1404d216d7e4a91b562b1c6210d19959e935571e067cda254a02308236ac712b,0x549adf7b383a1645f26a2acfe09c5304b679a532,0x549adf7b383a1645f26a2acfe09c5304b679a532
0xa640a0-0x7d6a80b08700358ed867920d3c6fbbb2a9b002e9,0,400,10895520,1600556166,0x12ebd5a52a6489fe24a3a35f3b96955205149424f5c4f7521ac8b26d0a9a2776,0x7d6a80b08700358ed867920d3c6fbbb2a9b002e9,0x7d6a80b08700358ed867920d3c6fbbb2a9b002e9
0xa640a4-0x2d407ddb06311396fe14d4b49da5f0471447d45c,555736.713157612094907903,0,10895524,1600556194,0x1a6732d3786acd326ddefd92afd4f5d942ebaad104e47c478badf7034b20c992,0x2d407ddb06311396fe14d4b49da5f0471447d45c,0x92d07da081da3603fce208a29f40c22b8cc6a840
