id,choice,weight,reason,block,blockTime,txnHash,voter.id,proposal.id
0x822cd4f645d14afbd06e51ad6672c6bc702a5006-23,FOR,1000000000000000000,,15146528,1657878366,0x792effe5355fd32cb7ac055ab6a06e150574cfdb3e18cc5de3c14d210cdfa4ba,0x822cd4f645d14afbd06e51ad6672c6bc702a5006,23
0x822cd4f645d14afbd06e51ad6672c6bc702a5006-24,FOR,1000000000000000000,,15381656,1661053609,0x433fcbb4d4ce4af3aeb9c4b1ff767b051c176d32fc4d90585be466561136e253,0x822cd4f645d14afbd06e51ad6672c6bc702a5006,24
0x822cd4f645d14afbd06e51ad6672c6bc702a5006-25,FOR,1000000000000000000,,15716303,1665388007,0xe9f38a5e36f8cb7c4d8d04f0ca83034a3423446a9e957f6a2cb29b5d8e7ead18,0x822cd4f645d14afbd06e51ad6672c6bc702a5006,25
0x822fb53d67af805da7b5bb77a9bef3b19370f90c-25,FOR,1148427584134398500,,15703902,1665238475,0xe5b6075e6a80e56a2a723f4af1beea7760bb79a3834de30e22999ff243c57d31,0x822fb53d67af805da7b5bb77a9bef3b19370f90c,25
0x8240a9daedb22e2a78fca3b5afe27b76b6c51bf2-11,FOR,1105499927144837812,,14314305,1646314747,0x2c2e2488b4f80e6ebeb527364927eea99c34409d95533b7ea305080525f23ebe,0x8240a9daedb22e2a78fca3b5afe27b76b6c51bf2,11
0x8240a9daedb22e2a78fca3b5afe27b76b6c51bf2-13,FOR,1105499927144837812,,14461056,1648287153,0x73c02ea5fe50d14726d48386bbc7fe41f20db70cd215711055b92aa4dda0046e,0x8240a9daedb22e2a78fca3b5afe27b76b6c51bf2,13
0x8240a9daedb22e2a78fca3b5afe27b76b6c51bf2-14,FOR,1105499927144837812,,14544383,1649410989,0x3ad04917c84bb41f4b513c513f74a45fc4f13e37ace24d58463c60b9ae141d6b,0x8240a9daedb22e2a78fca3b5afe27b76b6c51bf2,14
0x824654d47b3e4fee47b4a62262d3c0161a6630e0-25,FOR,2000000000000000000,,15738844,1665659867,0x9eec5cec8b642381c8d0940d500ff29a4e812459a1c64421a4fdc9900c32f867,0x824654d47b3e4fee47b4a62262d3c0161a6630e0,25
0x82484b07668ff20b15af9ae7796b301724e15a27-23,FOR,100000000000000000,,15133260,1657701230,0x470102ae208042c6f056a447f0aed5b7032424c83a1dc4dee386e60c8ab6f509,0x82484b07668ff20b15af9ae7796b301724e15a27,23
0x824d30ea456c413a4759285b523197356f8987b4-25,FOR,0,,15742766,1665707267,0xe2275e97168f91dab295074636701d8315966b0c3c4bd9ef6251cc00ccc426c8,0x824d30ea456c413a4759285b523197356f8987b4,25
0x824d4cb20c7a60c88f83ab748012db401ded4835-25,FOR,1000000000000000000,,15704091,1665240755,0xc3d4e00e7e8cc05faedc4d98339eea26585b5d53abdf2a0eb46fb64f41ac3708,0x824d4cb20c7a60c88f83ab748012db401ded4835,25
0x82513ba428c3fedab6dcfdfad5b7ebcb5076ffa0-11,FOR,10000000000000000,,14311598,1646278183,0xa8b7119a6dd8557686850c3ce603bcbb4474fde29e5982ee294cb1dbea933131,0x82513ba428c3fedab6dcfdfad5b7ebcb5076ffa0,11
0x82513ba428c3fedab6dcfdfad5b7ebcb5076ffa0-24,FOR,10000000000000000,,15388742,1661150305,0x0f5dd3126b156cddc33cfaeb2fac7b9102f0f5a4ce65e36bdf9d0399b27d75a8,0x82513ba428c3fedab6dcfdfad5b7ebcb5076ffa0,24
0x8259a2829cdea8d7970a28f2f9c87d2816a85240-11,FOR,1000000000000000000,,14319712,1646386993,0x5498b180a837c104de9e3598815dfdfcf356fdf73c2e8f3cd760155b9e85abf5,0x8259a2829cdea8d7970a28f2f9c87d2816a85240,11
0x8259a2829cdea8d7970a28f2f9c87d2816a85240-13,FOR,1000000000000000000,,14466240,1648357101,0x0909434a6c4cabb4701632ed32df32146c7fe76bc2cda56e1d35074a7cb40250,0x8259a2829cdea8d7970a28f2f9c87d2816a85240,13
