id,totalSupply,tokenHolders,delegates,delegations,timestamp,blockNumber
18591,1000000000000000000000000,2,0,0,1606316703,11328198
18601,1000074047856646667160318,3,0,0,1607136331,11389992
18606,1000097529480488899115772,4,0,0,1607622576,11426622
18612,1000110099671652692208660,10,0,0,1608153337,11466548
18613,1000142674290340169985856,14,0,0,1608203193,11470262
18614,1000177835096950562596475,17,0,0,1608320910,11479152
18615,1000177835096950562596475,19,0,0,1608387245,11484175
18616,1000178916244007362728887,24,0,0,1608500163,11492697
18617,1000181078711104492081731,23,0,0,1608579299,11498659
18618,1000181696240024221219964,25,0,0,1608665176,11505177
18619,1000181696240024221219964,27,0,0,1608757147,11512106
18620,1000183219123949102414547,35,0,0,1608834874,11517955
18621,1000184403708329189513848,37,0,0,1608933322,11525350
18622,1000184403708329189513848,40,0,0,1608975635,11528535
18624,1000190627354559241760861,41,0,0,1609162738,11542765
18626,1000197766993125064417825,44,0,0,1609370511,11558368
18627,1000206343728795475384144,47,0,0,1609458703,11564978
18628,1000208285631278875480794,47,0,0,1609488015,11567203
18629,1000209331347154938986440,48,0,0,1609571008,11573509
18630,1000209331347154938986440,48,0,0,1609676536,11581494
18631,1000242465209398826503485,49,0,0,1609747869,11586846
18632,1000243680211568277167175,50,0,0,1609866548,11595766
18633,1000250114947889000229923,52,0,0,1609961892,11603002
18634,1000263200931432411210481,54,0,0,1610040348,11608915
18635,1000266464818699498891374,53,0,0,1610122302,11615087
18637,1000267875608966889414924,54,0,0,1610272211,11626376
18638,1000267875608966889414924,54,0,0,1610399963,11636032
18640,1000269264623854000819301,54,0,0,1610529028,11645751
18641,1000272199849354899308799,55,0,0,1610593724,11650753
18643,1000272199849354899308799,55,0,0,1610821021,11667800
18644,1000272199849354899308799,56,0,0,1610897894,11673547
18645,1000278284962933458701367,56,0,0,1610986660,11680279
18646,1000282051294567680129469,56,0,0,1611043243,11684515
18647,1000284546097234667672965,58,0,0,1611164945,11693782
18648,1000289172920233915157609,58,0,0,1611216056,11697576
18649,1000297581360775759736023,59,0,0,1611312672,11704865
