id,forWeightedVotes,againstWeightedVotes,totalWeightedVotes,timestamp,blockNumber,proposal.id
29770955241146343676364752344923469368290286625509522136314719298932050983569-19114,3823083503800888521993,0,3823083503800888521993,1651507190,14699269,29770955241146343676364752344923469368290286625509522136314719298932050983569
29770955241146343676364752344923469368290286625509522136314719298932050983569-19116,4823083503800888521993,0,4834877175283929709456,1651702511,14713509,29770955241146343676364752344923469368290286625509522136314719298932050983569
29770955241146343676364752344923469368290286625509522136314719298932050983569-19117,4858467567392271648405,1000000000000000000000,5870261238875312835868,1651735892,14715958,29770955241146343676364752344923469368290286625509522136314719298932050983569
29770955241146343676364752344923469368290286625509522136314719298932050983569-19118,13438964824814911550765,1000000000000000000000,14450758496297952738228,1651863994,14725285,29770955241146343676364752344923469368290286625509522136314719298932050983569
29770955241146343676364752344923469368290286625509522136314719298932050983569-19120,14438964824814911550765,1000000000000000000000,15450758496297952738228,1652047332,14738644,29770955241146343676364752344923469368290286625509522136314719298932050983569
29770955241146343676364752344923469368290286625509522136314719298932050983569-19121,15438964824814911550765,1000000000000000000000,16450758496297952738228,1652106499,14742925,29770955241146343676364752344923469368290286625509522136314719298932050983569
37202134190166629205488218948304157165039720629385438272490277472742730829605-19060,1110975390553442966627,0,1110975390553442966627,1646854337,14354488,37202134190166629205488218948304157165039720629385438272490277472742730829605
37202134190166629205488218948304157165039720629385438272490277472742730829605-19061,1110975390553442966627,0,1110975390553442966627,1646906706,14358467,37202134190166629205488218948304157165039720629385438272490277472742730829605
37202134190166629205488218948304157165039720629385438272490277472742730829605-19063,1939551977532223655871,0,1939551977532223655871,1647119525,14374302,37202134190166629205488218948304157165039720629385438272490277472742730829605
37202134190166629205488218948304157165039720629385438272490277472742730829605-19064,1939551977532223655871,0,1939551977532223655871,1647153139,14376731,37202134190166629205488218948304157165039720629385438272490277472742730829605
37202134190166629205488218948304157165039720629385438272490277472742730829605-19065,4479978621822800466895,1000000000000000000000,5479978621822800466895,1647279929,14386171,37202134190166629205488218948304157165039720629385438272490277472742730829605
37202134190166629205488218948304157165039720629385438272490277472742730829605-19066,12975460457360451628899,2000000000000000000000,14986420912513990930775,1647365263,14392542,37202134190166629205488218948304157165039720629385438272490277472742730829605
37202134190166629205488218948304157165039720629385438272490277472742730829605-19067,12975460457360451628899,2000000000000000000000,15328101944830320465625,1647443338,14398349,37202134190166629205488218948304157165039720629385438272490277472742730829605
39335423757678407494012147266243241572636472001736295858554576648791252204504-19094,3212974228109664079768,0,3212974228109664079768,1649750199,14569512,39335423757678407494012147266243241572636472001736295858554576648791252204504
39335423757678407494012147266243241572636472001736295858554576648791252204504-19095,7154770965246307158285,0,7154770965246307158285,1649886407,14579654,39335423757678407494012147266243241572636472001736295858554576648791252204504
39335423757678407494012147266243241572636472001736295858554576648791252204504-19096,15905531646423477976405,0,15905531646423477976405,1649936730,14583346,39335423757678407494012147266243241572636472001736295858554576648791252204504
39335423757678407494012147266243241572636472001736295858554576648791252204504-19097,16905531646423477976405,0,16905531646423477976405,1650049632,14591765,39335423757678407494012147266243241572636472001736295858554576648791252204504
39335423757678407494012147266243241572636472001736295858554576648791252204504-19098,16905531646423477976405,0,16905531646423477976405,1650110780,14596238,39335423757678407494012147266243241572636472001736295858554576648791252204504
91388393958346767282436830202582381357138252819862358258168352110789792788073-19082,1000000000000000000000,0,1000000000000000000000,1648765429,14496608,91388393958346767282436830202582381357138252819862358258168352110789792788073
91388393958346767282436830202582381357138252819862358258168352110789792788073-19083,6786766398372572679004,0,6786766398372572679004,1648849717,14502887,91388393958346767282436830202582381357138252819862358258168352110789792788073
91388393958346767282436830202582381357138252819862358258168352110789792788073-19084,6786766398372572679004,0,6786766398372572679004,1648909206,14507222,91388393958346767282436830202582381357138252819862358258168352110789792788073
91388393958346767282436830202582381357138252819862358258168352110789792788073-19085,6786766398372572679004,0,6786766398372572679004,1648983246,14512741,91388393958346767282436830202582381357138252819862358258168352110789792788073
91388393958346767282436830202582381357138252819862358258168352110789792788073-19086,7786766398372572679004,6689615073789775727310,14476381472162348406314,1649110215,14522110,91388393958346767282436830202582381357138252819862358258168352110789792788073
91388393958346767282436830202582381357138252819862358258168352110789792788073-19087,8786766398372572679004,6689615073789775727310,15476381472162348406314,1649119279,14522775,91388393958346767282436830202582381357138252819862358258168352110789792788073
