id,totalSupply,tokenHolders,delegates,delegations,timestamp,blockNumber
18523,529369754949744452235043,669,1,9,1600473563,10889267
18524,1369162874497821430151397,2444,8,29,1600559980,10895791
18525,1632534801014269791848158,2893,8,30,1600646398,10902386
18526,2143173784812745056839364,3488,9,30,1600732770,10908952
18527,2581687887936437083041782,3954,9,31,1600819108,10915381
18528,2734298597009843595437813,4190,9,31,1600905544,10921918
18529,2988707780812404262883140,4528,9,32,1600991942,10928431
18530,3357785429293892085150626,4825,9,32,1601078380,10934883
18531,4156424635993830136983312,4978,10,33,1601164529,10941289
18532,4396878878319401706687422,5110,10,33,1601250866,10947655
18533,4652320900418770473770086,5187,50,76,1601337483,10954074
18534,4963205323217148178786556,5255,267,312,1601423870,10960459
18535,5169605121138645153566794,5326,358,420,1601510325,10966867
18536,5329982905515881215068267,5418,407,475,1601596674,10973290
18537,5558698602870150290880492,5503,432,504,1601683166,10979656
18538,6187277174365467453022433,5559,467,547,1601769553,10986033
18539,6477157722759179412496396,5602,488,569,1601855976,10992406
18540,6731769408730975546840014,5647,497,579,1601942307,10998849
18541,6858864295720151675725585,5672,507,593,1602028755,11005321
18542,7045285727220579945183863,5703,518,605,1602114711,11011616
18543,7175335924601466653708453,5760,525,612,1602201015,11017918
18544,7386414384705670365780036,5782,532,624,1602287914,11024336
18545,7793111330173112015774953,5807,550,645,1602373070,11030770
18546,7923482694003572061827949,5882,562,658,1602460401,11037401
18547,8166677643437645407745236,5906,571,671,1602546815,11043856
18548,8290722673954641293966118,5943,580,680,1602633575,11050449
18549,8740450744712125767646848,5976,608,710,1602719967,11056986
18550,8851227914786040221455118,5996,618,721,1602806386,11063553
18551,8930644274575909833202544,6007,624,732,1602892527,11070029
18552,9025301997605345242994412,6031,630,738,1602979007,11076560
18553,9173339567078174901091827,6052,635,742,1603065510,11083018
18554,9363160039158162889161916,6080,641,751,1603151995,11089619
18555,9629623174495152904616566,6097,645,755,1603238086,11096106
18556,9741659276510940023823799,6123,648,760,1603324095,11102589
18557,9818500916404739111325634,6143,651,765,1603410989,11109162
18558,9856459603023302386050900,6162,656,772,1603497075,11115622
18559,9951486397396585449911331,6202,661,778,1603583969,11122230
18560,10028933966924952304352172,6242,676,793,1603670328,11128707
18561,10052196218864912847898620,6257,680,796,1603756560,11135163
18562,10068015738509425682070827,6273,685,801,1603842628,11141690
18563,10111477399913508021050413,6288,687,803,1603928793,11148221
18564,10125201363757421090983186,6298,692,810,1604015745,11154783
18565,10156950557915577506127041,6314,695,813,1604101987,11161266
18566,10182635717364297061168401,6331,700,818,1604188666,11167803
18567,10185531579933260632833396,6350,705,823,1604273886,11174234
18568,10221615286882462337578238,6358,707,827,1604361572,11180797
18569,10230829546474929989191126,6377,710,831,1604447836,11187310
18570,10308458350951818989863279,6386,713,834,1604534324,11193838
18571,10315635811028494653543705,6397,715,836,1604619910,11200305
18572,10333648391108702705774300,6405,718,840,1604706094,11206811
18573,10336801127278413776692115,6412,718,840,1604791811,11213268
18574,10344956210764546312993933,6420,720,843,1604879290,11219882
18575,10355434882353434103657238,6532,796,920,1604964590,11226316
18576,10365844151779985785961473,6544,825,949,1605052020,11232839
18577,10371323995063656275078047,6549,828,952,1605138987,11239409
18578,10390148346359131028361003,6571,830,954,1605224733,11245881
18579,10397916241438808709193003,6584,836,960,1605311767,11252448
18580,10423068979187687054910025,6606,851,976,1605398339,11259009
18581,10456125241031268654247311,6622,859,985,1605484036,11265515
18582,10536390519827903070289257,6632,885,1014,1605570981,11272026
18583,10557633882057040693562849,6644,891,1021,1605657225,11278531
18584,10590632298284204491530070,6666,895,1029,1605743908,11285004
18585,12470555418164818897687899,6689,898,1031,1605830176,11291603
18586,12529990803405057791866695,6708,900,1033,1605916343,11298041
18587,12555507838547681921087448,6734,903,1037,1606002429,11304581
18588,12579633097929598086566092,6748,903,1037,1606089329,11311128
