id,forWeightedVotes,againstWeightedVotes,totalWeightedVotes,timestamp,blockNumber,proposal.id
10-18814,122430100118591289824685621032,0,122430100118591289824685621032,1625558880,12772743,10
10-18815,132585090533711459488057160940,0,132585090533711459488057160940,1625700429,12783272,10
11-18817,163785175980178449281260523924,0,163785175980178449281260523924,1625864879,12795479,11
11-18818,339545124179873384531370373930,0,339545124179873384531370373930,1625886952,12797187,11
1-18667,98364871706901279161356697690,0,98364871706901279161356697690,1612914050,11825318,1
1-18668,234168739658473459068168975202,0,234168739658473459068168975202,1613001438,11831904,1
1-18669,391269777597004875508257511929,0,391269777597004875508257511929,1613037337,11834576,1
12-18844,0,114868466358835461046608208561,114868466358835461046608208561,1628134798,12962652,12
13-18844,163703928360007676978001848333,0,163703928360007676978001848333,1628203025,12967684,13
13-18845,404297435502092889376136294414,0,404297435502092889376136294414,1628227770,12969526,13
14-18878,176964128038658152911193315321,0,176964128038658152911193315321,1631133125,13187297,14
14-18879,421401756020569034765437598465,0,421401756020569034765437598465,1631199728,13192196,14
15-18885,138144404696664045463161193122,0,138144404696664045463161193122,1631738769,13232550,15
15-18886,405512641022489510328403202217,0,405512641022489510328403202217,1631804299,13237434,15
16-18908,493987733113561414870070976495,0,493987733113561414870070976495,1633717077,13379753,16
17-18974,486786978900073815451067889501,0,486786978900073815451067889501,1639438898,13799909,17
18-18985,200000000000000000000000399788,573444339281359987023793361299,773444339281359987023793761087,1640359941,13868716,18
19-19000,275891483057996554530914654164,0,275891483057996554530914654164,1641605009,13961810,19
20-19033,355747423350787580009029374557,0,355747423350787580009029374557,1644529818,14180845,20
21-19061,361641242992539040611986745266,0,361641242992539040611986745266,1646956241,14362181,21
2-18674,135551784529023369560114407882,0,135551784529023369560114407882,1613510039,11870202,2
2-18675,275383414811375041637309818226,0,275383414811375041637309818226,1613564869,11874365,2
22-19088,355747423350787580009029374557,0,355747423350787580009029374557,1649273641,14534201,22
23-19125,586957830029313091472879254406,0,586957830029313091472879254406,1652423807,14765807,23
24-19156,26614281083664053886735994673,567042196103812151415960439228,593656477187476205302696433901,1655155431,14958158,24
25-19160,382254813305724887943725501578,0,382254813305724887943725501578,1655499179,14981243,25
26-19182,224739466650453971556764282808,0,224739466650453971556764282808,1657357773,15107491,26
27-19183,31636822249019712506355284292,0,31636822249019712506355284292,1657472623,15116134,27
27-19184,517765475022230534760778763421,0,517765475022230534760778763421,1657549764,15121871,27
28-19216,52695514119912558765578573271,0,52695514119912558765578573271,1660327422,15328451,28
29-19218,40073556007875118368794659349,0,40073556007875118368794659349,1660499142,15341157,29
29-19219,93239664775784100694627669497,0,93239664775784100694627669497,1660593489,15347980,29
29-19220,633302133857994097756816710121,0,633302133857994097756816710121,1660617275,15349778,29
30-19247,540062469082209997062189040624,0,540062469082209997062189040624,1663026397,15523749,30
30-19248,540065667389089153734079270214,0,540065667389089153734079270214,1663042477,15524871,30
30-19249,596709134531789210734942750799,0,596709134531789210734942750799,1663164383,15533322,30
31-19259,0,0,0,1664048507,15605372,31
31-19260,272828260331606349471495141958,0,272828260331606349471495141958,1664112983,15610726,31
3-18682,96389501655022079227862328283,0,96389501655022079227862328283,1614144810,11918011,3
3-18683,289604209072442710702803089727,0,289604209072442710702803089727,1614276431,11927830,3
32-19278,704321240409531028074679016117,0,704321240409531028074679016117,1665630311,15736393,32
4-18694,1723559507309715566663656802,0,1723559507309715566663656802,1615245812,12000822,4
4-18695,187924105172143188141769824996,0,187924105172143188141769824996,1615330801,12007150,4
4-18696,306795309511224053054832567414,0,306795309511224053054832567414,1615391038,12011686,4
5-18721,147227164984960704098436166162,0,147227164984960704098436166162,1617569897,12175467,5
5-18722,147653758921913203625213640033,0,147653758921913203625213640033,1617612311,12178661,5
6-18726,204919553747488444669351676256,0,204919553747488444669351676256,1618007262,12208338,6
6-18727,309059724342791783420874018094,2636274343119463455226239,309062360617134902884329244333,1618086834,12214364,6
6-18728,313142519945949514258784897140,3200943174721967493784199924,316343463120671481752569097064,1618134063,12217871,6
7-18757,116195999261489969527681647035,0,116195999261489969527681647035,1620628556,12405066,7
7-18758,226774868567065193904843241975,0,226774868567065193904843241975,1620750371,12414175,7
8-18782,124944518320358974645628070139,0,124944518320358974645628070139,1622836438,12570052,8
9-18787,156969860638148201171175965466,0,156969860638148201171175965466,1623249033,12600861,9
9-18788,205206028568971671719737461086,0,205206028568971671719737461086,1623329601,12606884,9
