id,choice,weight,reason,block,blockTime,txnHash,voter.id,proposal.id
0x4c400139e281b9a917ee23cb5391e78aa9d0a8dd-85,FOR,10000000000000000,,15087615,1657092424,0x56ec614f5d27dd74a37e6315e5da3d644ce155e36621222a178cdc28165358eb,0x4c400139e281b9a917ee23cb5391e78aa9d0a8dd,85
0x4c5875226220b52f578da536453d29b33bcf5b3e-85,FOR,200000000000000000,,15088976,1657111104,0x4357ae5626db1d63cccc99268b04c6ae0b57ba85d53f1711da76642e4375f82f,0x4c5875226220b52f578da536453d29b33bcf5b3e,85
0x4c660d5470919e9680a45c474ad7d2513417abd7-102,FOR,3498363856472744,,15642135,1664492435,0x36a2f73a5018960d1b29c0f0bd05666d67f8d7559ca03cc665055ea9ec417801,0x4c660d5470919e9680a45c474ad7d2513417abd7,102
0x4c660d5470919e9680a45c474ad7d2513417abd7-103,AGAINST,3498363856472744,,15656507,1664666087,0x59633b5c1c0a46daa5bb78525b6e7673ceb1c6f47aa65cd2748b9cc7c513c42c,0x4c660d5470919e9680a45c474ad7d2513417abd7,103
0x4c660d5470919e9680a45c474ad7d2513417abd7-104,FOR,3498363856472744,,15692837,1665104891,0x99c813aac9783cde8cadb423235e105488e8f484b23fa364de0638e764a349d6,0x4c660d5470919e9680a45c474ad7d2513417abd7,104
0x4c660d5470919e9680a45c474ad7d2513417abd7-105,FOR,3498363856472744,,15692833,1665104843,0x2c4214d3cbcb30279510e258ea748f3525d1890211983aeb0a3ed229b21daeed,0x4c660d5470919e9680a45c474ad7d2513417abd7,105
0x4c660d5470919e9680a45c474ad7d2513417abd7-111,FOR,3498363856472744,,15808070,1666495079,0x710b91204a32d5058954193d1f7bb9a8c4c8fc0c72a69fafc41506eaa44c59aa,0x4c660d5470919e9680a45c474ad7d2513417abd7,111
0x4c660d5470919e9680a45c474ad7d2513417abd7-112,FOR,3498363856472744,,15808070,1666495079,0xf52035128ad3d8a905d3f77942384a21f536d6572e6aba9b4f6eac38a4d0cae4,0x4c660d5470919e9680a45c474ad7d2513417abd7,112
0x4c73535655072ee70bb321d22cea67e36d947a29-85,FOR,10000000000000000,,15087201,1657087182,0x1dcd2834dafa76e91fde67d2bd6fc47113a28b07b1f5204eac4b420fd47262a9,0x4c73535655072ee70bb321d22cea67e36d947a29,85
0x4c742a2311341c9ca8440e0d15a1ed4468b1e0b4-27,FOR,27686597174969727500,,13051734,1629323406,0x5fa5f189b29b6e2ed15489a682b40fbc4c91d05372880a962b68b55edb582cf5,0x4c742a2311341c9ca8440e0d15a1ed4468b1e0b4,27
0x4c7e610177a974eda4c71f8df04d2764d35c4f6b-104,FOR,20000000000000000,,15687113,1665035759,0xd2371ca76337e11c959c9da749b482eaeffb883c56f0581a256b8ee979dfacd7,0x4c7e610177a974eda4c71f8df04d2764d35c4f6b,104
0x4c7e610177a974eda4c71f8df04d2764d35c4f6b-105,FOR,20000000000000000,,15687152,1665036227,0x3476cdeb64ce3ff1417bce5183886ad6373b69135e9f17144c747ac1aeaefd7c,0x4c7e610177a974eda4c71f8df04d2764d35c4f6b,105
0x4c8067db4933e00e9b7638d3d66d2b58181887c1-85,FOR,105000000000000000,,15087219,1657087407,0x91150a6ac36a90109dc27c26a4f56891139e0d6060dbcd6fb51ec2826d56cb89,0x4c8067db4933e00e9b7638d3d66d2b58181887c1,85
0x4c8067db4933e00e9b7638d3d66d2b58181887c1-91,FOR,105000000000000000,,15241209,1659148865,0x617cdf7a44660fd6adfb12576a5f8b89d4c352e572da538f093aa77e084ad810,0x4c8067db4933e00e9b7638d3d66d2b58181887c1,91
0x4ca31d938bc2d23e68eab871e5a0a02019f8dce6-14,FOR,7015447006323171826254,,12386837,1620386266,0xe83699345968d96a7112cca9c4052b714411956a20ffc06dbdcf28bee5cab13a,0x4ca31d938bc2d23e68eab871e5a0a02019f8dce6,14
0x4cae7ce0e48a287e252efa05ee29c49e3e29dfba-89,FOR,53128511107642159,,15185885,1658406284,0xb8c75e6ec6b2dfb1a39dc6c09a7ce723675902ed8e9ca3be30e2b0db905b6d8a,0x4cae7ce0e48a287e252efa05ee29c49e3e29dfba,89
