id,choice,weight,reason,block,blockTime,txnHash,voter.id,proposal.id
0x58027cb0dcfde267d895060e3f43fd5858b23d09-37,FOR,0,,15558799,1663484315,0xba360b6c6d5350641b564d6d19dcf5deb5843a2b40c6580606be6fcb3c077869,0x58027cb0dcfde267d895060e3f43fd5858b23d09,37
0x5838508f2da93b46c0b0a7d90e14d633b1d52523-39,FOR,0,,15741954,1665697499,0xb779564d287ad972a28410dee365ac514e16cb97f34b7a823fcc24b4a0d8a646,0x5838508f2da93b46c0b0a7d90e14d633b1d52523,39
0x5869cecfc285e2cbd115f69df3495927dc763794-16,FOR,20000000000000000,,14157447,1644216488,0x43426436ae435e255fa9e0038036a0ad9ec0077b0d0c03851f3b326b5a777bca,0x5869cecfc285e2cbd115f69df3495927dc763794,16
0x58a177769a7d53b73445798a65026adb38a17180-39,FOR,26000000000000000,,15751708,1665815099,0xedc75602f0fc9c70840f5e6368d478ef68f3d838338cd747216e08d277a36081,0x58a177769a7d53b73445798a65026adb38a17180,39
0x58b27a95ab360a85ba8ae5a202cd6e9d80a82064-31,FOR,0,,15242670,1659169246,0x288402eca0ffa1029b1e9c63669d95be5c9148db2602289639557e5f7d84cd05,0x58b27a95ab360a85ba8ae5a202cd6e9d80a82064,31
0x5905554d1afdec2fd460aa24bc66fc5917fcdee1-33,FOR,1100000000000000000,,15426546,1661672304,0x840214e8db40d1010b17f83beaacd03b9afaa3fc524386b51d8f0a0032526f0f,0x5905554d1afdec2fd460aa24bc66fc5917fcdee1,33
0x5905554d1afdec2fd460aa24bc66fc5917fcdee1-34,FOR,1100000000000000000,,15426546,1661672304,0x92d685568df81dfeccf79940c0630a8db7149b983ceea5b827b7cbc7c9e3065a,0x5905554d1afdec2fd460aa24bc66fc5917fcdee1,34
0x593509e9b78c62efd0ee6b18b128f30a53c11fec-31,FOR,0,,15236267,1659083100,0x1158cb768e8e627557c167a2c5fd14154d6548f91d6d80efbe743dcc155ebe74,0x593509e9b78c62efd0ee6b18b128f30a53c11fec,31
0x59547307d27c330a23354d2a344650bf279d7523-31,FOR,0,,15241606,1659154064,0xac9d1643f5162da9cf2c8b3d736611cf00e7c8e4c987140a356917ad3fbbd8d4,0x59547307d27c330a23354d2a344650bf279d7523,31
0x59c9d046d43b28816393825a3688d93b82bdd625-22,FOR,500000000000000,,14377691,1647166244,0xe753d418777d3b647e2308246a463ce070cf107406322cd9eb8c338c7140219d,0x59c9d046d43b28816393825a3688d93b82bdd625,22
0x59d6779eca6c91ed7679e261b54299b5155eadf0-10,FOR,380817664498999969792,,13667097,1637619175,0x7a88378fdb5aa4e384e602ade8d3af43a9e884ba8677623c0819b3d1865e75e1,0x59d6779eca6c91ed7679e261b54299b5155eadf0,10
0x59d6779eca6c91ed7679e261b54299b5155eadf0-11,FOR,380817664498999969792,,13733478,1638532687,0x0a6b95d187d45fa1855481c13c8df452fd5af61ab58841cb177bac40cc55f667,0x59d6779eca6c91ed7679e261b54299b5155eadf0,11
0x59d6779eca6c91ed7679e261b54299b5155eadf0-12,FOR,380817664498999969792,,13835833,1639920073,0xf5aeff1f494e805e15c47625a908fb82346eaec9686cc63f89e6df44ffd6d408,0x59d6779eca6c91ed7679e261b54299b5155eadf0,12
0x59d6779eca6c91ed7679e261b54299b5155eadf0-21,FOR,380817664498999969792,,14369941,1647060981,0x42621fc2df94e0feea541ac935e1c625b823d27ea845be7778fe8f978136741b,0x59d6779eca6c91ed7679e261b54299b5155eadf0,21
0x59d6779eca6c91ed7679e261b54299b5155eadf0-22,FOR,380817664498999969792,,14369938,1647060905,0x677ac7676c421e9ed51479c71dcad6f5b56bf18175bca026a6b7dd5e48ddc8c2,0x59d6779eca6c91ed7679e261b54299b5155eadf0,22
0x59d6779eca6c91ed7679e261b54299b5155eadf0-23,FOR,380817664498999969792,,14369933,1647060741,0xacc4a51940a34dce0bd9277c566033b7cc7acb2c12d035f63de074549293e96c,0x59d6779eca6c91ed7679e261b54299b5155eadf0,23
0x59d6779eca6c91ed7679e261b54299b5155eadf0-31,FOR,380817664498999969792,,15247287,1659230672,0xad39956a98f8c233835f437efef91d35285ab262f7c389619aa5cf844f8b80c4,0x59d6779eca6c91ed7679e261b54299b5155eadf0,31
0x59d6779eca6c91ed7679e261b54299b5155eadf0-9,FOR,380817664498999969792,,13563276,1636205954,0x1eaa2409530b1f29f43cff7c21b6474c568d3a63a768e6824f9eaad2d1ba265f,0x59d6779eca6c91ed7679e261b54299b5155eadf0,9
0x5a1d1fac4b19162408a795bf385a95cd4692c2c9-10,FOR,2630480000000000000000,,13687770,1637902506,0x0da8b24e42a87d941155055e2c37fce3e5b8bd28da888de97d29a2b5db24bf10,0x5a1d1fac4b19162408a795bf385a95cd4692c2c9,10
0x5a27d268e830655e908a0a2c3b24f572695af5e8-6,FOR,99999000018944,,13362539,1633484836,0xf851135414f0e3c30c89e911dee4b435685fbc422e12c851448d8730a185c84b,0x5a27d268e830655e908a0a2c3b24f572695af5e8,6
0x5a5426030765baaed938c4c9ee865af2fbeaaba4-22,FOR,500000000000000,,14377691,1647166244,0xff35bb2490bc2595eec522d4a96cba560eb4769f1fe1361fe316e924fc42485e,0x5a5426030765baaed938c4c9ee865af2fbeaaba4,22
0x5a62b2a2825e8227dcb70b33de2b66c0834a29c1-31,FOR,1210000000000000000,,15236317,1659083747,0x2caeb9e7b77f4bf63a8ea116bff6aa710c6810ac994e6682e9fe0dcffd3b53bd,0x5a62b2a2825e8227dcb70b33de2b66c0834a29c1,31
0x5a7365adb157b5e2bd19712f45131dae4527c9d6-38,FOR,4019996287302925955,,15725964,1665504503,0xb44a9134442da4f65ab643204cfecaef3942d548b097de89d4fb15145cb2cca0,0x5a7365adb157b5e2bd19712f45131dae4527c9d6,38
0x5acccad1932174a7df449905316679f4d6dc6748-31,FOR,0,,15230487,1659004129,0x3080df8326ba5426f15a5feb54a446ffe3ae5b0a6127be92b770e92e313135d2,0x5acccad1932174a7df449905316679f4d6dc6748,31
0x5b03ba47731186a768a3e8d94d5bb1040ba4350d-31,FOR,0,,15243407,1659178987,0x150dc9ef4192b004e4e02044f13dd158ef8e6eebed8c6d221a781f0b41aa9035,0x5b03ba47731186a768a3e8d94d5bb1040ba4350d,31
0x5b0d96dc7dfcca4053f588123c2ab22e84b7ffb6-37,FOR,0,,15558807,1663484411,0x4d356b32058ecdfb600179e4009111de2256839c1d048c2e9ac825e5591c1a52,0x5b0d96dc7dfcca4053f588123c2ab22e84b7ffb6,37
0x5b47ce248ea313841668a318afb9a5597d5efc23-38,FOR,3000000000000000000,,15722740,1665465647,0x5365f0eb288a8c2ec2932c69d9eaeebcb29ae1150ed1588483f2d50f83dce9d6,0x5b47ce248ea313841668a318afb9a5597d5efc23,38
0x5b716577ee35a146846f1fa33f6c3d0138ebc468-22,FOR,500000000000000,,14377691,1647166244,0x0535243faa78717badeb16f66a1c69f5b369ebe014d8272466619f0354e6c8f7,0x5b716577ee35a146846f1fa33f6c3d0138ebc468,22
0x5b8c78c33881c3e229652c79e3dca124473ae2e2-38,FOR,4759028877832580275,,15736078,1665626519,0x0934664d03e6c02899a8a11d9d44e5fc5505649f9c84c9a2b090c35dcf1077d7,0x5b8c78c33881c3e229652c79e3dca124473ae2e2,38
0x5ba02f4ff6af1d9d2af8774d10fd32eb57d4e2e6-2,FOR,312391530978105604396828,,13094891,1629899138,0x37f318af63215128430b70add1a7f26620571a2961b0f99f3fd39fff880623e7,0x5ba02f4ff6af1d9d2af8774d10fd32eb57d4e2e6,2
0x5ba02f4ff6af1d9d2af8774d10fd32eb57d4e2e6-3,FOR,312391530978105604396828,,13094889,1629899126,0x4d6b24dccd31f222f895fcd5889c7c949aa4679bdfed8333c60957f263d2ef29,0x5ba02f4ff6af1d9d2af8774d10fd32eb57d4e2e6,3
0x5be10f3434bc1ac6c0a34f86da39ea0095392f21-1,FOR,85088372702322734856,,13056032,1629380358,0x0ee4fec376638c33368b95c53a924f740af8139c4dc42b3dcbfc81d75c8a02c7,0x5be10f3434bc1ac6c0a34f86da39ea0095392f21,1
0x5bf8924f2edcde72f38c7fd5bb0ff704c0dd6a67-31,FOR,0,,15261223,1659418247,0x99505a83dd456e82570e60b00cf9e0656cacd73bdd567ad89bffed127e29ba5d,0x5bf8924f2edcde72f38c7fd5bb0ff704c0dd6a67,31
0x5bfe77c263ffeb120dcd40523473852b3bc5a932-24,FOR,100000000000000000,,14828860,1653299304,0x997b9b4dfff6c8cfa169c8ce95c6843414a5b0417ddbf64ccad80191cda73311,0x5bfe77c263ffeb120dcd40523473852b3bc5a932,24
0x5bfe77c263ffeb120dcd40523473852b3bc5a932-31,AGAINST,100000000000000000,,15242486,1659166763,0xedaba2580ecd7edfcecf2f38ed1216b6e954e28e026700cb22ff50a139c5546b,0x5bfe77c263ffeb120dcd40523473852b3bc5a932,31
0x5bfe77c263ffeb120dcd40523473852b3bc5a932-36,FOR,100000000000000000,,15463721,1662185207,0x5263f4d399143c8057e2ce69a17238850916dead0b141f01b96da8922580cd50,0x5bfe77c263ffeb120dcd40523473852b3bc5a932,36
0x5c07271a50c18c0a93e5d72dc45e561e3bd3e07e-24,FOR,100000000000000000,,14828860,1653299304,0x1e667cfbca2b3b05d1d952cf2dc7cec640efd641ab09bb814fdcf7184ef1b513,0x5c07271a50c18c0a93e5d72dc45e561e3bd3e07e,24
0x5c07271a50c18c0a93e5d72dc45e561e3bd3e07e-31,AGAINST,100000000000000000,,15242485,1659166737,0x32eb67f23e9c9727627b1ae6bd8431142c6a55d3d2225c7cc1954bc0ffff36c1,0x5c07271a50c18c0a93e5d72dc45e561e3bd3e07e,31
0x5c07271a50c18c0a93e5d72dc45e561e3bd3e07e-36,FOR,100000000000000000,,15463721,1662185207,0xb3561b8c69e537ec543078f5046d869dbfab3db99489d50898e1ccb95b5b585e,0x5c07271a50c18c0a93e5d72dc45e561e3bd3e07e,36
0x5c12375f0385d2a19dd6ec1ab2e5d618a97579ff-31,FOR,0,,15234446,1659057698,0xa66825f5ad2b4504e33f838a55ebcbd8ab853d8f960adcd4445041e1613a6c9d,0x5c12375f0385d2a19dd6ec1ab2e5d618a97579ff,31
0x5c2632cedb167609c7f12e9bbfbc5665cfd66d40-31,FOR,0,,15235922,1659078225,0x8129ac0bb2e6ce22c1419ea168fdc5e2a625f90349ba1fa4248f8bd68a7de597,0x5c2632cedb167609c7f12e9bbfbc5665cfd66d40,31
0x5c798c4cebef07b529981b74eff294f65800e42e-33,FOR,1010000000000000000,,15424893,1661648884,0xbd1b8c6d6eca375854d61ac9099dca1fe3873d4f23f230dc613de11df424011c,0x5c798c4cebef07b529981b74eff294f65800e42e,33
0x5c798c4cebef07b529981b74eff294f65800e42e-34,FOR,1010000000000000000,,15424893,1661648884,0x958cf83f14c56cd19614ddc3fc6636ec951e8dfc36d03856efcd7cf13eace392,0x5c798c4cebef07b529981b74eff294f65800e42e,34
0x5ca1d8383e2592b21fe2318981ed230d1b2004f2-39,FOR,365500000000000000,,15730603,1665560459,0xee1df84174bdd926f3e5ec8728d3cd9bd44a562189a9ca43086c3d699daef111,0x5ca1d8383e2592b21fe2318981ed230d1b2004f2,39
0x5cadb25613a4caca2de649de7b09ea5fd16c9d37-39,FOR,0,,15741974,1665697739,0x36f9fc43acbf26b504897c8dc7405460ce53950c3d6100108566728a7ba94ef6,0x5cadb25613a4caca2de649de7b09ea5fd16c9d37,39
0x5d0b4c705a7192f661d9cde670a2cfb8dd9a1859-37,FOR,10203067613664321468,,15539096,1663244891,0x0b34acc084ab3a8b049bc11003d0d7ba91dd542cca25b93a2b3d64b3f6a82b5c,0x5d0b4c705a7192f661d9cde670a2cfb8dd9a1859,37
0x5d3def61252919833790910dd0ac76db797a2829-31,FOR,0,,15247699,1659236159,0xcfb211cfeb187577adcdc294b21260941f881c436da8c2af8271f640df7d896f,0x5d3def61252919833790910dd0ac76db797a2829,31
0x5d53671a9f53481e8079ea6ad97b1152150601b6-33,FOR,5000000000000000000,,15424874,1661648667,0xfdd9ebfba097ae01ab4d90bcff579fda34556169184fa1032bc73a69b5a0ae8b,0x5d53671a9f53481e8079ea6ad97b1152150601b6,33
0x5d53671a9f53481e8079ea6ad97b1152150601b6-34,FOR,5000000000000000000,,15424874,1661648667,0x29bbd5445b8046b24eb8038b4926828a7a25efe0ffe881841a80151aef52526f,0x5d53671a9f53481e8079ea6ad97b1152150601b6,34
0x5d631dce46e286aafb02b42673dc9d8e176d9c88-32,FOR,1000000000000000000,,15406578,1661394996,0x14e09a7a1c01481e202a6b84f7161af8cf221a0e8e011d8889cce56977d89458,0x5d631dce46e286aafb02b42673dc9d8e176d9c88,32
0x5d631dce46e286aafb02b42673dc9d8e176d9c88-33,FOR,1000000000000000000,,15425069,1661651379,0x6751ed1444fc40658b5b77c37cf751b3fb8b000adc8530d43eccf5aceb5af7ee,0x5d631dce46e286aafb02b42673dc9d8e176d9c88,33
0x5d631dce46e286aafb02b42673dc9d8e176d9c88-34,FOR,1000000000000000000,,15425057,1661651163,0x450a6f8bac7a12a7a740a792b33bf164343ddaca8d0bcf870ec01f55a2846817,0x5d631dce46e286aafb02b42673dc9d8e176d9c88,34
0x5d631dce46e286aafb02b42673dc9d8e176d9c88-35,FOR,1000000000000000000,,15452734,1662033177,0xfa0bdbd73294b552dcc160e54196ffe0925882c375df564d6e3b1f0472e5f272,0x5d631dce46e286aafb02b42673dc9d8e176d9c88,35
0x5d631dce46e286aafb02b42673dc9d8e176d9c88-36,FOR,1000000000000000000,,15470358,1662276645,0x8c576ba0146be3724fb30c01b2c275fe61c3eaa4a47d7ac971b191cbf9fc77d5,0x5d631dce46e286aafb02b42673dc9d8e176d9c88,36
0x5d631dce46e286aafb02b42673dc9d8e176d9c88-37,FOR,1000000000000000000,,15525563,1663052345,0x3c3605c3d3294086324cfbeb9922556af47b70a72719c75bf6121b0620aa988c,0x5d631dce46e286aafb02b42673dc9d8e176d9c88,37
0x5d631dce46e286aafb02b42673dc9d8e176d9c88-39,FOR,1000000000000000000,,15725653,1665500771,0xddb86a26cb571d39595fa2d3f2b3fb0e4f3802558b3c7eaa992ad51b6ce50b4e,0x5d631dce46e286aafb02b42673dc9d8e176d9c88,39
0x5d91f2acde102966281c7a93d1695a12cbd21fc8-31,FOR,1210000000000000000,,15236316,1659083710,0x01025686683c446be3a01a27b30cc56151c8160846f34e3021dc43d72de81b97,0x5d91f2acde102966281c7a93d1695a12cbd21fc8,31
0x5d9531fb853e28ef034af3d2ce01e14011a73129-31,FOR,5111168919641234876,,15248614,1659248933,0xf53c8fadc4b6df08cf437607696c8a5a312e529dc5c4315b5b586ae7eeeb3717,0x5d9531fb853e28ef034af3d2ce01e14011a73129,31
0x5d9e01ee083a24a1817f0c17f705deba10a203d2-31,FOR,0,,15243407,1659178987,0xfac8af581e71ee67123b8f1ef1a52af8c143b536ad89428768b6bd94848fe128,0x5d9e01ee083a24a1817f0c17f705deba10a203d2,31
0x5daf9a8638c7ffaaf39756c1b7604bf6336983a6-33,FOR,1010000000000000000,,15425328,1661654921,0x6d083109e1db06fdef2bdc92c275c5271acf7c58b7c324e38e0a02a55ae58f18,0x5daf9a8638c7ffaaf39756c1b7604bf6336983a6,33
0x5daf9a8638c7ffaaf39756c1b7604bf6336983a6-34,FOR,1010000000000000000,,15425328,1661654921,0xbcff1515b44e0c296b5cfaefa2cf221eb4a12b73c88e2c2153320d0b9466f687,0x5daf9a8638c7ffaaf39756c1b7604bf6336983a6,34
0x5e349eca2dc61abcd9dd99ce94d04136151a09ee-12,FOR,1480394667248590022569441,,13850247,1640112663,0x09c8390b79a6f7fca42a77892c9cc92dc24715beb086c93fd1384a1e8988a85f,0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,12
0x5e349eca2dc61abcd9dd99ce94d04136151a09ee-13,FOR,1457577367394191144324587,,14027706,1642484424,0xddd717903b6cebf6ab47612ab7aa6a3e7c8b5a44c9b4751b05e6a3e6212a3f5b,0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,13
0x5e349eca2dc61abcd9dd99ce94d04136151a09ee-14,FOR,1457527367394191144324587,,14045782,1642725749,0xc5898055c8d22f25ec14ee39aadd9b22fed3f20497ae688ad4cb68e833d3948e,0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,14
