,id,choice,weight,reason,block,blockTime,txnHash,voter.id,proposal.id,dao,Offchains,choices
0,0x134b58a2854cd11cd31f1ae270d52bb4ee018b4f-23,FOR,1.3818867974925632e+23,,15051421,1656607953,0xf5abbdc7bbb760601fb299e673dddeddde00cda9e856e12c2cc875caa5578969,0x134b58a2854cd11cd31f1ae270d52bb4ee018b4f,23,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
1,0x134b58a2854cd11cd31f1ae270d52bb4ee018b4f-24,FOR,8.699068797518858e+22,,15397692,1661272105,0xe8fa145d2bb95abf49c4ab22bb9d8450e87519d141c788711342a15b96640990,0x134b58a2854cd11cd31f1ae270d52bb4ee018b4f,24,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
2,0x2bc44f6c34d9200c258ac07a56d81963d4f92c4c-19,FOR,1.0321884626800614e+23,,14399818,1647463372,0x74499426e65ee3a7f0056ad906adf32cedefafb918b5f0172b01454c8dc6e0d3,0x2bc44f6c34d9200c258ac07a56d81963d4f92c4c,19,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
3,0x2bc44f6c34d9200c258ac07a56d81963d4f92c4c-20,FOR,1.429214804230662e+23,,14496048,1648757950,0x65313b021bac474b43749a2e51d3137f1ec2f8fcff7280279b866c9c401b9118,0x2bc44f6c34d9200c258ac07a56d81963d4f92c4c,20,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
4,0x2bc44f6c34d9200c258ac07a56d81963d4f92c4c-21,FOR,1.3683869430581988e+23,,14533858,1649269201,0xc9ac251ddadf038771687a8798c84bef095f9e1d40a56a049f9b8e41ace13273,0x2bc44f6c34d9200c258ac07a56d81963d4f92c4c,21,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
5,0x2bc44f6c34d9200c258ac07a56d81963d4f92c4c-22,FOR,1.3500147064719305e+23,,14591682,1650048475,0xa27d558be090cc2a12a574c912dbdcdf0ea6969aa1e7c97849b22bdbcb3986c7,0x2bc44f6c34d9200c258ac07a56d81963d4f92c4c,22,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
6,0x4a7d88d29a26dd3169988f3a12dff6a3ea784cff-26,AGAINST,0.0,,15556606,1663457759,0x4b17d1101b80e2adc9ebdb0d6db44f8caca4fd365f55937c0c0a648761bc887a,0x4a7d88d29a26dd3169988f3a12dff6a3ea784cff,26,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
7,0x50da03c08b3269aa2b47a0b8be03dbcea4cb3990-24,FOR,5.777184335788347e+21,,15391926,1661193507,0xae2e16946866b3d27e96e59882608f855bce395fd7c9297e06ebf8be5a5bfca6,0x50da03c08b3269aa2b47a0b8be03dbcea4cb3990,24,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
8,0x50da03c08b3269aa2b47a0b8be03dbcea4cb3990-25,FOR,2.6015962543072425e+23,,15483692,1662462016,0xfacb03f396bc2a0a6ebb989ebbd49e0523d8d593692e5b2b139435d4f1944240,0x50da03c08b3269aa2b47a0b8be03dbcea4cb3990,25,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
9,0x50da03c08b3269aa2b47a0b8be03dbcea4cb3990-26,FOR,2.5015962543072425e+23,,15551984,1663401719,0x05c0636f3cfbd786686fcbe3fcca083f98852465c3f9e11532c40801ccbd96dd,0x50da03c08b3269aa2b47a0b8be03dbcea4cb3990,26,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
10,0x5bcfc2dee33fbd19771d4063c15cfb6dd555bb4c-24,FOR,1.083573270346414e+23,,15401072,1661318782,0xac93bd4054a710313717a303583af346d2efe49f0fe8a413360b824ded859ad3,0x5bcfc2dee33fbd19771d4063c15cfb6dd555bb4c,24,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
11,0x79438224bc21b0e6b45ecf9f8caadfbdb874dedd-26,FOR,0.0,,15551854,1663400111,0x751e59dfcd3453d0a5500980afd97109ef0a8f98a4267acd8578229ba45c993e,0x79438224bc21b0e6b45ecf9f8caadfbdb874dedd,26,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
12,0x93fa26253abbfb21a7f2749a81bb25a7e5f95ba1-26,AGAINST,0.0,,15556073,1663451315,0xad043905052d37e541914c25b56fd2f5be5166412e4a6bd048e41f44fccbcfd1,0x93fa26253abbfb21a7f2749a81bb25a7e5f95ba1,26,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
13,0x9c39a2e1e124bda611321494ec99cc8c01e0731d-24,FOR,0.0,,15401510,1661325090,0xfe791f85642de329af7cc43cf5ab7b4b388ed7e260aed9854b29a5bf7c99d747,0x9c39a2e1e124bda611321494ec99cc8c01e0731d,24,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
14,0x9c39a2e1e124bda611321494ec99cc8c01e0731d-25,FOR,2.490461108288223e+22,,15486761,1662504357,0x7d5e19056ddd6d808ee3e5714da4f7b4b1200c60033576066a6a0dffefc8f8ec,0x9c39a2e1e124bda611321494ec99cc8c01e0731d,25,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
15,0x9c39a2e1e124bda611321494ec99cc8c01e0731d-26,FOR,2.589620107812165e+22,,15549225,1663368299,0xd9c438040f41c5cf60369fe20ad98b5e2d6a81d3b2e626b4ffd8923e0b949249,0x9c39a2e1e124bda611321494ec99cc8c01e0731d,26,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
16,0xb08696efcf019a6128ed96067b55dd7d0ab23ce4-19,FOR,5.118310166264799e+23,,14410889,1647612445,0x547c1ad57a9912448bc0b95c0cee635939a765496f78d352cf727e73332b4745,0xb08696efcf019a6128ed96067b55dd7d0ab23ce4,19,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
17,0xb08696efcf019a6128ed96067b55dd7d0ab23ce4-20,FOR,5.39260423786486e+23,,14512010,1648973249,0x5c8291888137942372099cf9dc9b66a885d539b686208bfb69f59810ae0cd2ca,0xb08696efcf019a6128ed96067b55dd7d0ab23ce4,20,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
18,0xb08696efcf019a6128ed96067b55dd7d0ab23ce4-21,FOR,6.846519626301338e+23,,14545917,1649431176,0x4ef45f9275c215f1e240ef0c2768bb141d4a97d9895af0c3daf09819f931162d,0xb08696efcf019a6128ed96067b55dd7d0ab23ce4,21,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
19,0xb08696efcf019a6128ed96067b55dd7d0ab23ce4-22,FOR,6.878942557134308e+23,,14605619,1650236838,0xaa08b6f60c923ff5607f7db6d9fc1d64b7d868dc6b8e9d082f7d4a84861f7ed7,0xb08696efcf019a6128ed96067b55dd7d0ab23ce4,22,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
20,0xb08696efcf019a6128ed96067b55dd7d0ab23ce4-23,FOR,9.473063865532418e+23,,15057820,1656695055,0xc891253c4c588636270f2a1889a562cbe4e64418989d8b34f9c83421cc7be338,0xb08696efcf019a6128ed96067b55dd7d0ab23ce4,23,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
21,0xb08696efcf019a6128ed96067b55dd7d0ab23ce4-25,FOR,1.123034454146925e+24,,15497207,1662648604,0x84e432f75d81235d0572eadc91ea360c170a4b88072bdcddb1a5482d79729083,0xb08696efcf019a6128ed96067b55dd7d0ab23ce4,25,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
22,0xb08696efcf019a6128ed96067b55dd7d0ab23ce4-26,FOR,1.1261004097527713e+24,,15562094,1663524239,0xb9ba9ec04fce8328fe3e3d1625826d12331f2c961f9c8b6564b2486dad8354e0,0xb08696efcf019a6128ed96067b55dd7d0ab23ce4,26,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
23,0xc1d4325fd08599a9178ca5df6de4993207fcec5f-26,FOR,0.0,,15556594,1663457615,0x74434a440fb70166cf1cfdf85ece4ff4741be401950d18fa214ddf0ffbe867a6,0xc1d4325fd08599a9178ca5df6de4993207fcec5f,26,idle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
