Voter Choice,weight,Voter Reason,block,blockTime,Transaction Hash,Voter Address,Proposal ID,DAO Name,Offchain?,Proposal Choices,state,tokenHoldersAtStart,delegatesAtStart,againstDelegateVotes,forDelegateVotes,abstainDelegateVotes,totalDelegateVotes,againstWeightedVotes,forWeightedVotes,abstainWeightedVotes,totalWeightedVotes,Proposal Date Created,Proposal Date Start,Proposal Date End,Proposal Author,DAO Token Supply,Voting Power
FOR,0.0,,12112493,1616733539,0x1b2899905f477d0f537465eafe36f855ec4c4a5aede808c5abca46ac5eb000fd,0x00000b20f0f6a3a212aa6b85106709cd5941457c,42,CompoundAlpha,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,145089,1560,1,58,0,59,1000000000000000000,1438678862814169453983519,0,1438679862814169453983519,1616687915,1616687925,1616917224,0xd122638eca5bb644591fe660fce0b85e2ab6186a,1e+25,0.0
FOR,1.5e+22,,12112220,1616729868,0x28b0c97162f8e3baba396f6b3e78e41d39603cda656520c924e0d31699113909,0x0a09cd09b0107bb98a83f211704f036eca94b92e,42,CompoundAlpha,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,145089,1560,1,58,0,59,1000000000000000000,1438678862814169453983519,0,1438679862814169453983519,1616687915,1616687925,1616917224,0xd122638eca5bb644591fe660fce0b85e2ab6186a,1e+25,0.0014999999999999998
FOR,1.0008356785702776e+18,,12115107,1616767965,0x1db1c67a0dcca7746adcaf381773d1462737ac2aa96024e71f343f257ffac584,0x0dc1f2633d657122d67735d9606e0b29f5523aef,42,CompoundAlpha,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,145089,1560,1,58,0,59,1000000000000000000,1438678862814169453983519,0,1438679862814169453983519,1616687915,1616687925,1616917224,0xd122638eca5bb644591fe660fce0b85e2ab6186a,1e+25,1.0008356785702775e-07
FOR,0.0,,12117248,1616796151,0xac8296a984ce25e733cb379c171adf9376ef104aa1a3a25cc36e2a111f6f189c,0x0fc84e15aeb7907a76a221169d80d3eb06cdb44b,42,CompoundAlpha,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,145089,1560,1,58,0,59,1000000000000000000,1438678862814169453983519,0,1438679862814169453983519,1616687915,1616687925,1616917224,0xd122638eca5bb644591fe660fce0b85e2ab6186a,1e+25,0.0
FOR,6e+18,,12111336,1616717849,0xacd2f00966e95c3b7b267b7b7e9ed020e728fbd5b0ece1ac29a9c86a84122bcd,0x188c30e9a6527f5f0c3f7fe59b72ac7253c62f28,42,CompoundAlpha,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,145089,1560,1,58,0,59,1000000000000000000,1438678862814169453983519,0,1438679862814169453983519,1616687915,1616687925,1616917224,0xd122638eca5bb644591fe660fce0b85e2ab6186a,1e+25,6e-07
FOR,2.9e+16,,12110139,1616702230,0x794912f2103161d528175ff411eac5f8731722bb4260806d132c7cefee02799f,0x27de0fa057415f722365e64a7005d80cb2f3be1f,42,CompoundAlpha,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,145089,1560,1,58,0,59,1000000000000000000,1438678862814169453983519,0,1438679862814169453983519,1616687915,1616687925,1616917224,0xd122638eca5bb644591fe660fce0b85e2ab6186a,1e+25,2.9e-09
FOR,7.503971103398484e+21,,12115509,1616773280,0x3aef2ab22600225d924bc875625a79a9a1cab581031aaa9d03dde5183d94403b,0x2b384212edc04ae8bb41738d05ba20e33277bf33,42,CompoundAlpha,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,145089,1560,1,58,0,59,1000000000000000000,1438678862814169453983519,0,1438679862814169453983519,1616687915,1616687925,1616917224,0xd122638eca5bb644591fe660fce0b85e2ab6186a,1e+25,0.0007503971103398483
FOR,7.784530096146958e+16,,12126254,1616916560,0xa9680976fbebfb6b5777d6b5545769eb3f112da75b8fc9c3c7546517cbffb755,0x2fae7ca03363a8722df266fcc1df74f3957408a8,42,CompoundAlpha,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,145089,1560,1,58,0,59,1000000000000000000,1438678862814169453983519,0,1438679862814169453983519,1616687915,1616687925,1616917224,0xd122638eca5bb644591fe660fce0b85e2ab6186a,1e+25,7.784530096146957e-09
FOR,3.991824395096695e+17,,12111096,1616714883,0x10ca4f24882857a39a54fa8475d48a91019bd4ccd37f33303aa7756290f8d28a,0x30c80c56f439760d4d0fa33ed19822a27e7461bb,42,CompoundAlpha,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,145089,1560,1,58,0,59,1000000000000000000,1438678862814169453983519,0,1438679862814169453983519,1616687915,1616687925,1616917224,0xd122638eca5bb644591fe660fce0b85e2ab6186a,1e+25,3.991824395096695e-08
FOR,1.4082788333825704e+17,,12115509,1616773280,0x3aef2ab22600225d924bc875625a79a9a1cab581031aaa9d03dde5183d94403b,0x34c1c3405cd216c10da49308fbacdb230cb2a824,42,CompoundAlpha,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,145089,1560,1,58,0,59,1000000000000000000,1438678862814169453983519,0,1438679862814169453983519,1616687915,1616687925,1616917224,0xd122638eca5bb644591fe660fce0b85e2ab6186a,1e+25,1.4082788333825703e-08
