Voter Choice,weight,Voter Reason,block,blockTime,Transaction Hash,Voter Address,Proposal ID,DAO Name,Offchain?,Proposal Choices,state,tokenHoldersAtStart,delegatesAtStart,againstDelegateVotes,forDelegateVotes,abstainDelegateVotes,totalDelegateVotes,againstWeightedVotes,forWeightedVotes,abstainWeightedVotes,totalWeightedVotes,Proposal Date Created,Proposal Date Start,Proposal Date End,Proposal Author,DAO Token Supply,Voting Power
FOR,1.0000970751726305e+22,,14434786,1647934291,0xac4779437c0cdfb1d25f47357279d154e4d7b1d4aa1056564c3c1beedf3efc97,0x000000dcf1190af44f7149b85299f18ce7221024,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,0.00010000970751726305
FOR,1e+16,,14436246,1647953775,0x9785905311a77b3763ade146f75bd1acf7618779af2f32321b8583f51035892c,0x03154b9e76b3e6eb27357ccfd638f9ac9085e8b3,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,9.999999999999999e-11
FOR,1e+16,,14436238,1647953636,0xe57ea51ba1b9b59dcd2617fb970b451a7dc123c67cf496d49ffec979cd124431,0x0586cc847c82397c443992facdc8cae0dba46956,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,9.999999999999999e-11
FOR,0.0,,14442538,1648038362,0x9742ae09dac26430f795b34dda602c27dd0cc754352e67cf59237f4272fbbc45,0x0586fcc2d0d400596ff326f30debaa3a79e33c25,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,0.0
FOR,1e+16,,14436520,1647957703,0x9d8e5aac8ddc95203c14b630df5833ece70f2b86e6176001e99e5ca26d93eca4,0x068db2a4655158bc61e6147c0015bd2c63b4cf08,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,9.999999999999999e-11
FOR,3e+18,,14435308,1647941368,0xf34cb01aafacd2ef85e5f45eecbc032def48e403f7e4c5b4800d15f1702bc5c0,0x06c4865ab16c9c760622f19a313a2e637e2e66a2,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,3e-08
FOR,6.62502487e+18,,14456030,1648219195,0x1e7dc16bbcb37495bb5e2c28665d6f0451075eb4bee02736aea5e9fce3fe2d8f,0x0c9e25f360807da04549a69baec94c9fda1d41a7,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,6.625024869999999e-08
FOR,0.0,,14434353,1647928479,0x2513ea4f6dd500a8c12de846d38c77610d3699966df5dc5dbef983e4c5c695cf,0x0e4cb981aa087847ef0c9f0c0989d884a86d04c3,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,0.0
FOR,5.779688663127323e+19,,14441136,1648019284,0x1faff135413a2e591042fd6444be1b83b4f20f385e61e65b00dc858e5f5cacfe,0x0eeb15cada5996ae022d72ef5a1cf3f6a4f3a017,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,5.779688663127322e-07
FOR,1.008e+19,,14440743,1648013812,0x02bff666170a27bca0d56a05038315356d7a1e0a5fad4a4482d1f39fd0ec85d1,0x0f6f4af413baffa1414841bbce810dda68cf609d,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,1.0079999999999999e-07
FOR,1.1e+18,,14434431,1647929451,0x531c57fbb81b7dc422ad7c883219caeea930914ca701cb6c11fb1ff33f0d7cff,0x110ef3690d553584073016287f3406955430c8ab,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,1.1e-08
FOR,1e+16,,14437023,1647964805,0x65151b7c361a519666830174d60d43a3934de909bc5e8cb93e8c9d9531c1574d,0x13ac0d7bb293163922ca296a0c3fb1b236c815f0,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,9.999999999999999e-11
FOR,1.29430794e+18,,14473711,1648457237,0xad958b38f8de6f6aeaedba28d07a63ac250d283e80e6b6457d4424635ccf9e27,0x177821cbe97b3eb0a20de1fd534bc7160cbcd76e,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,1.29430794e-08
FOR,0.0,,14473745,1648457619,0x2a581ad14d9069a4faaada613976e37acada29ea107e79b45754839fb5b88bc9,0x1ba1ff69f03d38af7ef40e3afdc53ad073eb4642,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,0.0
FOR,1.2060111701474642e+20,,14434350,1647928441,0x1901dbbc1d10d738ad8615dc1eef75d5cffaf80827804eefa0f8971b4892bcf9,0x1ccb144b700ec726d37db38c617e154de6d9c0d0,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,1.206011170147464e-06
FOR,3.3950630620424595e+20,,14433681,1647919572,0x099eda5dc43c414cff1d4ba3989b87ff0c7d5d95b5827cf2b969ee1eaa37f30c,0x1d5460f896521ad685ea4c3f2c679ec0b6806359,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,3.395063062042459e-06
FOR,1.1e+18,,14434437,1647929493,0xcab59ab7f6c363e43b5ab8a2c3245209165d739a95de63fb67a62250f4723555,0x2069fb2721738b4c38e5d916ca9a9e3a5a35a62d,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,1.1e-08
FOR,2.5e+20,,14434892,1647935514,0xcab3118ac133242031f7b4e0c6a4eeb18e9aca4b4d0f76ae953fdee21393b3a5,0x23c4111d6f85de542dd8ad911c7c3cc66e98faa7,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,2.4999999999999998e-06
FOR,1.0006e+19,,14440743,1648013812,0x23ce9e89233eb75f65220cad24439b0f9143d52c8da4170ec64e522516979840,0x247bcac51c514d28e683d6811ab57c71b5395127,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,1.0006e-07
FOR,5.084371328724124e+18,,14447873,1648110205,0x837b46d32cb008dfd43625e4907a694e2d123cc92a6cb30770ee0fde07a48b0b,0x264cd18f0572da20152cab327800c1a854f61f66,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,5.0843713287241234e-08
FOR,2.945983672299522e+21,,14432495,1647903233,0x2877f00f2daff9a45d361a98bcfb0bbf0d884ab64987ab9670b95bb9685c1e7f,0x29a82e07b96c405ac99a8023f767d2971546de70,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,2.945983672299522e-05
FOR,1.00111e+19,,14440743,1648013812,0x7a20d9609ff3431c9bb4e6663435b1a9d3ffdff73eecbe94e0b253bbdeb7b9c7,0x2ad369f25161506526bc10c72ebeca2bc8c4fa0d,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,1.0011099999999999e-07
FOR,2.136860361869932e+23,,14435243,1647940614,0x374d2014335decb31b4db4be6a26c0600d95d04636f2de7f346bf754baacfd81,0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,0.002136860361869932
FOR,1.1042759550549815e+21,,14468456,1648387253,0xdd2e72b9f82ca31476c727150791edcafc7f8d0fb1e8044652853e7f0f7e67ce,0x30c7f4f7504d6366916f669cd8e731ed4df6c702,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,1.1042759550549815e-05
FOR,1.729713946970866e+22,,14433450,1647916467,0x0c2b4101956948649aa5645f0332d4395b2d514bef3604630c5e0d9d70b4a061,0x3335cc8bda40fb5a5f8db1d0011dec98728d81e1,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,0.0001729713946970866
FOR,1e+17,,14435427,1647942897,0x628840b615ba7672e27c40341012b6aacdf2748e80357f58456939b326afc70e,0x371ea1e8fcb52083a2a6ee8bb44bb5540939fb82,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,9.999999999999999e-10
FOR,1.001e+19,,14440743,1648013812,0xef17a9ebd2036c02be0103ab028c4d89767dea7a76aef3c531def65f47f7e603,0x38a05492029ef8cd1fe9e1193bbed1d3eef2f31a,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,1.0009999999999999e-07
FOR,1.373386968925334e+23,,14455971,1648218351,0xf2680af84594fec6d6aa17451d80436b82830c645a02b1589ab8459ff626fdd2,0x399e0ae23663f27181ebb4e66ec504b3aab25541,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,0.001373386968925334
FOR,0.0,,14436220,1647953432,0x015d568b4e762838c15400de5a632cdb373e102bf12ae85abdbf88c81e5350ea,0x3aa6605d87f611e43ad0a64740d6bef9b80fcd2c,115615865324623814833258987703837575663427750121726187103053182962864855260310,ENS,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,57557,11606,0,104,0,104,0,2387598920229058525875510,0,2387598920229058525875510,1647901232,1647901253,1648517506,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,1e+26,0.0
