Voter Choice,weight,Voter Reason,block,blockTime,Transaction Hash,Voter Address,Proposal ID,DAO Name,Offchain?,Proposal Choices,state,tokenHoldersAtStart,delegatesAtStart,againstDelegateVotes,forDelegateVotes,abstainDelegateVotes,totalDelegateVotes,againstWeightedVotes,forWeightedVotes,abstainWeightedVotes,totalWeightedVotes,Proposal Date Created,Proposal Date Start,Proposal Date End,Proposal Author,DAO Token Supply,Voting Power
FOR,2.0596457503739628e+18,,12715079,1624782749,0x8a0dcc4cd4ae03ef257f42558f62ad71b47a2f8875a3163e26bde018b81f6a59,0x0057bd83a142da84b6404616c683e21e7dd6fa5f,17,PoolTogether,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,7433,352,0,33,0,33,0,599204659152092974464371,0,599204659152092974464371,1624738402,1624738413,1625125269.0,0x9abad5d367565425a11ab0446cdc1cd3f38a0bd8,1e+25,2.0596457503739626e-07
FOR,9.71383964950323e+19,,12735967,1625064196,0x0dc811a82d15f49680b4e70293d2eb4fcce2c8e767a46389e568402050d160b4,0x0d5ef5088ffdedb05cfa80ea1b4f5992a3b7b4af,17,PoolTogether,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,7433,352,0,33,0,33,0,599204659152092974464371,0,599204659152092974464371,1624738402,1624738413,1625125269.0,0x9abad5d367565425a11ab0446cdc1cd3f38a0bd8,1e+25,9.71383964950323e-06
FOR,1.914399904452465e+18,,12727195,1624945664,0x048376928594e342af435bccc2d9c766241dbce6f2d1d298c4cf1d8fc978a69f,0x20b66765e8b16804090a2856023b43c3802aca72,17,PoolTogether,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,7433,352,0,33,0,33,0,599204659152092974464371,0,599204659152092974464371,1624738402,1624738413,1625125269.0,0x9abad5d367565425a11ab0446cdc1cd3f38a0bd8,1e+25,1.9143999044524648e-07
FOR,1e+18,,12736087,1625065671,0x28ced75bd264f81bee7e2372c1c3681edbfcfe502c99070f23bfa0c130950bf6,0x22c0259870aac800347d8e20870b9ecf40665959,17,PoolTogether,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,7433,352,0,33,0,33,0,599204659152092974464371,0,599204659152092974464371,1624738402,1624738413,1625125269.0,0x9abad5d367565425a11ab0446cdc1cd3f38a0bd8,1e+25,1e-07
FOR,2.4568908e+19,,12718191,1624825017,0x5c33e41119fe8b6b1a0f2a6ff9e22bb7357794c89cbf5c7ab2f01128ab4f9a4e,0x29262a827ebacadeedf43ca3b0ec6fbf4380fec1,17,PoolTogether,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,7433,352,0,33,0,33,0,599204659152092974464371,0,599204659152092974464371,1624738402,1624738413,1625125269.0,0x9abad5d367565425a11ab0446cdc1cd3f38a0bd8,1e+25,2.4568908e-06
FOR,1e+18,,12726856,1624941187,0x7b472d02b9cc35854cca18724ed62573487aece6163947c6df35dd91dc0f6f8b,0x2fae7ca03363a8722df266fcc1df74f3957408a8,17,PoolTogether,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,7433,352,0,33,0,33,0,599204659152092974464371,0,599204659152092974464371,1624738402,1624738413,1625125269.0,0x9abad5d367565425a11ab0446cdc1cd3f38a0bd8,1e+25,1e-07
FOR,7.1895071404031496e+16,,12727145,1624944864,0x0891691492f5d653a047b1d89e889b5027aa8f2795f1617586e04bba83c3e584,0x3727321b9b1318c2716b743e4eea28e0c8fc7f58,17,PoolTogether,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,7433,352,0,33,0,33,0,599204659152092974464371,0,599204659152092974464371,1624738402,1624738413,1625125269.0,0x9abad5d367565425a11ab0446cdc1cd3f38a0bd8,1e+25,7.189507140403149e-09
FOR,2.498077130216892e+17,,12717722,1624818948,0xfd57dda3fb008ece88d1d70798a79e84d715bdb19d45bc0fd4a0a785a1fade43,0x4636e19f6e68bc6cc0f7bfa2d5f2ec3cf9413c0e,17,PoolTogether,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,7433,352,0,33,0,33,0,599204659152092974464371,0,599204659152092974464371,1624738402,1624738413,1625125269.0,0x9abad5d367565425a11ab0446cdc1cd3f38a0bd8,1e+25,2.498077130216892e-08
FOR,1.5004747618214874e+22,,12725959,1624928978,0x3ed36c0b54f10202cb4a1f2bdd16aa6af726c4a14da6289d94ca39ef351621b8,0x4a3e6e66f8c32bc05a50879f872b1177a1573cdf,17,PoolTogether,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,7433,352,0,33,0,33,0,599204659152092974464371,0,599204659152092974464371,1624738402,1624738413,1625125269.0,0x9abad5d367565425a11ab0446cdc1cd3f38a0bd8,1e+25,0.0015004747618214873
FOR,3.7390285049602816e+18,,12714363,1624773264,0xd2034929b00ec7a24f81e3bee67da492f0198c1868c6e3efd94a4fbf1ca4b568,0x52ef83e77243970e74680fc5814d4a7b984d4b89,17,PoolTogether,0,"['FOR', 'AGAINST', 'ABSTAIN']",EXECUTED,7433,352,0,33,0,33,0,599204659152092974464371,0,599204659152092974464371,1624738402,1624738413,1625125269.0,0x9abad5d367565425a11ab0446cdc1cd3f38a0bd8,1e+25,3.739028504960281e-07
