,id,choice,weight,reason,block,blockTime,txnHash,voter.id,proposal.id,dao,Offchains,choices
0,0x008c84421da5527f462886cec43d2717b686a7e4-1,FOR,0,,13077700,1629669343,0x5c7f8367d3936784c5b8f33873d589ee358cf20b7b5b3124fd4eb17039b9733d,0x008c84421da5527f462886cec43d2717b686a7e4,1,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
1,0x008c84421da5527f462886cec43d2717b686a7e4-10,FOR,1,,13387614,1633823922,0xcde15a33479995edacfa6cbe5c2005058915410e39e6c16ce0aee6fa5ddcd841,0x008c84421da5527f462886cec43d2717b686a7e4,10,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
2,0x008c84421da5527f462886cec43d2717b686a7e4-100,FOR,5,"The dedication to making this Nounish, the persistence through so many iterations, and the quality of the Proposer.",15052544,1656623612,0x827141783cf1f6740fd0cb16c64e8b826153a8a744b820f35f0ce7e00c06c13d,0x008c84421da5527f462886cec43d2717b686a7e4,100,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
3,0x008c84421da5527f462886cec43d2717b686a7e4-101,FOR,5,,15052523,1656623367,0xa24be4c0419f5a6b90a5dfc401ac166a5d60928b5308bb613b4cc2d1b3e16041,0x008c84421da5527f462886cec43d2717b686a7e4,101,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
4,0x008c84421da5527f462886cec43d2717b686a7e4-108,FOR,5,Nouns stands on the shoulders of the public good builders PG is supporting. <3,15130239,1657660677,0xca8a98635e921edb230a5ea7f00ff42fb9db58f75aff1ffb1300f0cb64e89f87,0x008c84421da5527f462886cec43d2717b686a7e4,108,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
5,0x008c84421da5527f462886cec43d2717b686a7e4-11,FOR,1,,13399202,1633981239,0x21f0e69962e111d9e4483e691752aa95e171b4592eab9bf674ad9f3a034555b9,0x008c84421da5527f462886cec43d2717b686a7e4,11,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
6,0x008c84421da5527f462886cec43d2717b686a7e4-110,FOR,5,Voting for a high energy force of nature,15141470,1657810904,0x16e5a4ee8b7accb3db35033bb5fc010ca2c2ac266661d41c7ddfa01bb2a76cfc,0x008c84421da5527f462886cec43d2717b686a7e4,110,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
7,0x008c84421da5527f462886cec43d2717b686a7e4-111,FOR,5,Integral and connective work,15141463,1657810825,0x807fc8db2553f17bbea8398014bb11f13e62e6e248c272b8ded2690ffb1f71e0,0x008c84421da5527f462886cec43d2717b686a7e4,111,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
8,0x008c84421da5527f462886cec43d2717b686a7e4-113,FOR,5,,15174914,1658258321,0xc0b44685710ce92165b35b17c97af81b5f7e74d95eb3f588bd203efa098c2459,0x008c84421da5527f462886cec43d2717b686a7e4,113,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
9,0x008c84421da5527f462886cec43d2717b686a7e4-114,FOR,5,,15174915,1658258349,0x1b9ef7b39d6fc872fe85051b056b6278b698d096c4b435b546c890a96a38e665,0x008c84421da5527f462886cec43d2717b686a7e4,114,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
10,0x008c84421da5527f462886cec43d2717b686a7e4-125,FOR,5,,15276326,1659622192,0x94e3d5b7a74e5a5598fc6e3018a8854160ee4130b4717e70d2a288f014863cd4,0x008c84421da5527f462886cec43d2717b686a7e4,125,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
11,0x008c84421da5527f462886cec43d2717b686a7e4-126,FOR,5,,15303742,1659990768,0xa2a83a095e929afa44b04f38997cfc6895b3b3c6ba47e2edc0f98a88740512a3,0x008c84421da5527f462886cec43d2717b686a7e4,126,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
12,0x008c84421da5527f462886cec43d2717b686a7e4-127,FOR,5,,15328226,1660324747,0x15333c9de842a849c9b850bbad7e5c6845fc56af9fe092e09da1f759201be359,0x008c84421da5527f462886cec43d2717b686a7e4,127,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
13,0x008c84421da5527f462886cec43d2717b686a7e4-128,FOR,5,Toady for life.,15328230,1660324850,0xeb96fbc35683ba7ac2ff898456fc1fb95f7f0bc0861c39ca3d475febe3bb1d49,0x008c84421da5527f462886cec43d2717b686a7e4,128,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
14,0x008c84421da5527f462886cec43d2717b686a7e4-129,FOR,5,,15352965,1660661258,0xe2d1983567c77fd80c71259a3817214dee66193e6629813bfee2cfcdae184f43,0x008c84421da5527f462886cec43d2717b686a7e4,129,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
15,0x008c84421da5527f462886cec43d2717b686a7e4-13,FOR,1,,13467791,1634910718,0xeca0dd8f5d9b6f7ea3796d2744fffe524f00751a2f178f1c745ac8347e290ffe,0x008c84421da5527f462886cec43d2717b686a7e4,13,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
16,0x008c84421da5527f462886cec43d2717b686a7e4-130,AGAINST,5,,15361143,1660772705,0x46eb1118d5031dcba8b0abc18df48bb3953af912ff02c2c019e90576a8dd58a6,0x008c84421da5527f462886cec43d2717b686a7e4,130,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
17,0x008c84421da5527f462886cec43d2717b686a7e4-134,AGAINST,5,,15471852,1662297398,0x808dd35164c5de768057163789e392f29da3716df990f0d08728091d533e5b03,0x008c84421da5527f462886cec43d2717b686a7e4,134,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
18,0x008c84421da5527f462886cec43d2717b686a7e4-135,FOR,5,The road to Xanadu is the road less traveled,15471814,1662296735,0xdd7343959d1778cd3ea55d880277b2b28afc11afa02c1090774012c6c1bd1af6,0x008c84421da5527f462886cec43d2717b686a7e4,135,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
19,0x008c84421da5527f462886cec43d2717b686a7e4-136,AGAINST,5,,15485108,1662481292,0xc699294a20b9769be8a09f4386a6f80e7ef2d18906ff508db1ab44f1a1855a44,0x008c84421da5527f462886cec43d2717b686a7e4,136,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
20,0x008c84421da5527f462886cec43d2717b686a7e4-138,FOR,5,,15523041,1663016709,0x1ea34b508e06f2aa7a839b1c5195a3e53ca7d210f7a709248cc13023e374b2d3,0x008c84421da5527f462886cec43d2717b686a7e4,138,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
21,0x008c84421da5527f462886cec43d2717b686a7e4-139,FOR,5,,15523041,1663016709,0xb8beddf7ae6ba03e39677b064ee2a408d15bfe87616a8965b6f84939447fb611,0x008c84421da5527f462886cec43d2717b686a7e4,139,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
22,0x008c84421da5527f462886cec43d2717b686a7e4-14,FOR,1,,13514751,1635546130,0x928545f60b65f0b4deafe6a11863977215dc39d9eed6cedbc4a0c7cc3b28c700,0x008c84421da5527f462886cec43d2717b686a7e4,14,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
23,0x008c84421da5527f462886cec43d2717b686a7e4-140,FOR,5,"Post merge, who dis?",15537442,1663224755,0xcd95aba8c5ed778f151cf5edc7d91e543604212b06703e78ce4744aec2c849a4,0x008c84421da5527f462886cec43d2717b686a7e4,140,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
24,0x008c84421da5527f462886cec43d2717b686a7e4-141,FOR,5,,15556269,1663453679,0xf210fbb73a473c1facd70454e8f379e41453b5cf08f3f747a0b01b908114472c,0x008c84421da5527f462886cec43d2717b686a7e4,141,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
25,0x008c84421da5527f462886cec43d2717b686a7e4-142,FOR,5,,15575508,1663686815,0x38ba986ccf6bdd52ee6832a9e2c7f2250eadcc3ec8c125612a84fbbdf5bf985d,0x008c84421da5527f462886cec43d2717b686a7e4,142,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
26,0x008c84421da5527f462886cec43d2717b686a7e4-143,FOR,5,,15584295,1663794191,0x7b1a4900bce424140af9b9ff44cb1fdf733066dd4d80a89e382d216fa8a5744a,0x008c84421da5527f462886cec43d2717b686a7e4,143,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
27,0x008c84421da5527f462886cec43d2717b686a7e4-15,FOR,1,,13576495,1636384217,0xe9fcdbce704db749f23c8b6bc781563ff5760044d6d29b62219cbd54349a4b72,0x008c84421da5527f462886cec43d2717b686a7e4,15,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
28,0x008c84421da5527f462886cec43d2717b686a7e4-16,FOR,1,,13576499,1636384291,0x3dff01ca4fe8c2f02538b91d772e71bdb3c9a8bda8def5714effa335149d2861,0x008c84421da5527f462886cec43d2717b686a7e4,16,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
29,0x008c84421da5527f462886cec43d2717b686a7e4-17,FOR,1,,13640798,1637258247,0x7681a705554662084d0ea19b9d5fe64c18fd3b61b37a0cf36002655a730f1394,0x008c84421da5527f462886cec43d2717b686a7e4,17,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
30,0x008c84421da5527f462886cec43d2717b686a7e4-18,ABSTAIN,1,,13646135,1637333226,0xd5f46c852a8b21d7d9b6fff9cdfa45868d0f9a584c999bf35c2301c5adfc6435,0x008c84421da5527f462886cec43d2717b686a7e4,18,Nouns,0,"['FOR', 'AGAINST', 'ABSTAIN']"
