,id,choice,weight,reason,block,blockTime,txnHash,voter.id,proposal.id,dao,Offchains,choices
0,0x03b79c0c1487a68aeabd9aa4ce779dad77855f52-3,FOR,1.6667e+22,,11914019,1614092958,0x6ff1f348878922cb706d0d8ace0e773c52a7415a826abee0cc502056a7d83173,0x03b79c0c1487a68aeabd9aa4ce779dad77855f52,3,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
1,0x0bc99b862e5545d181cc7bfa71720712527aceee-3,FOR,0.0,,11912724,1614075946,0xfcf150deb9304ba253f941a4bf003a831dd1d2e6930ab68cd7d838795d82f639,0x0bc99b862e5545d181cc7bfa71720712527aceee,3,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
2,0x0e16f564f344d75d832234f7256e84bbaa9b11f1-4,FOR,0.0,,12044432,1615828339,0xe13dce5494943f19b139b2429d4098743e1fdefd2a3f3e894aa4487a9a5e603d,0x0e16f564f344d75d832234f7256e84bbaa9b11f1,4,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
3,0x0eeb15cada5996ae022d72ef5a1cf3f6a4f3a017-9,FOR,2.93753939707595e+20,,15318128,1660185357,0x2b39465a0428b71a5f7081d773808ca1ff064ec035d89ff2849d8e0c369ae63f,0x0eeb15cada5996ae022d72ef5a1cf3f6a4f3a017,9,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
4,0x1137b52ad2398e0a6106f329ca7c57dead39778d-4,FOR,0.0,,12039981,1615768043,0x0ed9f2ac920f7c4136225bd437a4b3490e2df3a5ae16354745a5ab2bb731bd78,0x1137b52ad2398e0a6106f329ca7c57dead39778d,4,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
5,0x116a1ffb78c6994c8338e7636808272f9f9f5d56-3,FOR,0.0,,11913804,1614089918,0x8e24c1b2ff9b8454f2bbd1a394bb53b3bc05d0c72c30153769be359ff8e0511b,0x116a1ffb78c6994c8338e7636808272f9f9f5d56,3,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
6,0x119dfca1629a73912bc064af6774b36581d44b67-3,FOR,1.6144e+22,,11911834,1614064113,0x5dbe1836c33f1b1d3b544fc62f6609157e29e100bf4e1d2fd64a40c9033cb94f,0x119dfca1629a73912bc064af6774b36581d44b67,3,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
7,0x13075a80df4a80e45e58ef871900f0e0ef2ca5cc-2,FOR,2.7202357623033992e+23,,11886625,1613728462,0x4c387114aa9449aaeaaa1c22b0b54c39a66057379412931ad69dc0b3ff2adc64,0x13075a80df4a80e45e58ef871900f0e0ef2ca5cc,2,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
8,0x14e94aaca7ebad882516eb969a7b67787a860b64-10,FOR,4.2549210627029e+23,,15359962,1660756002,0x927a285b23ae18809ab7e15e745fe7e9660e0b04b2ed6587767f7047c586f375,0x14e94aaca7ebad882516eb969a7b67787a860b64,10,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
9,0x14e94aaca7ebad882516eb969a7b67787a860b64-6,FOR,2.501342627029e+22,,14397271,1647429571,0xc9cc016539752cd50d838e4ada22556fc22510d4541ddeaed7656f15565c9840,0x14e94aaca7ebad882516eb969a7b67787a860b64,6,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
10,0x14e94aaca7ebad882516eb969a7b67787a860b64-7,FOR,2.501342627029e+22,,14449008,1648125576,0xe82b83bbc0267fa7d15e75151da6108444c05d658478d76b3cf7b5f511dc4913,0x14e94aaca7ebad882516eb969a7b67787a860b64,7,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
11,0x14e94aaca7ebad882516eb969a7b67787a860b64-8,FOR,2.501342627029e+22,,14449016,1648125661,0x6c733fcf9e2ea6907fb35b557e09027f37a8e111c7cc9ee83b06a05882180aed,0x14e94aaca7ebad882516eb969a7b67787a860b64,8,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
12,0x14e94aaca7ebad882516eb969a7b67787a860b64-9,FOR,4.2549210627029e+23,,15325769,1660290228,0xd6103be1686114d563334287c4566fe449f6e4478c8fa4a84c9a045d8bde691d,0x14e94aaca7ebad882516eb969a7b67787a860b64,9,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
13,0x151a64570e4997739458455ba4ab5a535fd2e306-11,FOR,3.296067667422861e+21,,15447676,1661963453,0x2683c15c6f92ae205a57d475e4679b12abab4ccc19baf32808615d028b4dd2cd,0x151a64570e4997739458455ba4ab5a535fd2e306,11,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
14,0x1ada02ac5097709691c72aef033f2b8249fb1913-3,FOR,0.0,,11910854,1614050669,0x058f370c8623e68e96670d8d59d9f158fefb0457cd6a8f313ea51153eb74ae55,0x1ada02ac5097709691c72aef033f2b8249fb1913,3,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
15,0x1f889c13e733048bbce704ff71dec729156421d7-3,FOR,0.0,,11901425,1613925640,0x1020a4dca624ffcfa042930b0afb0316ac3e5c91e16f53e968cdd17b57464f82,0x1f889c13e733048bbce704ff71dec729156421d7,3,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
16,0x202d0b551f0e137efb419e70e1776b6d578bdbf3-4,FOR,5e+21,,12044672,1615831151,0x81033bfdb8dd28b3aea4abe556839c01428a5e6139f034cd7cc094722675ddac,0x202d0b551f0e137efb419e70e1776b6d578bdbf3,4,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
17,0x233394807af9e494cdbf61afcc2f64948d69f5d8-3,FOR,0.0,,11912751,1614076336,0x5b0727702017a2b16abd6a089b68969c2ccb7a83839252f0455c2028b6f5acdb,0x233394807af9e494cdbf61afcc2f64948d69f5d8,3,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
18,0x28fd3d0908a4e300147b3e8e97e1ad0f4abdba8c-3,FOR,3.5824e+22,,11899957,1613906598,0x62520fe1826849ce72c8be33b0163bc48bac54c5f6fc4d54de16e12c7698456a,0x28fd3d0908a4e300147b3e8e97e1ad0f4abdba8c,3,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
19,0x2e68640482723c4f919981075c28c8aa9283a4df-5,FOR,0.0,,13973208,1641756271,0xf3b7700bcc9b2a24d40208b1af27d844f10240ad066f169003b7ab1f263503e1,0x2e68640482723c4f919981075c28c8aa9283a4df,5,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
20,0x2e68640482723c4f919981075c28c8aa9283a4df-7,FOR,7.290006259287163e+22,,14442681,1648040257,0x102d2ddce7c0037d10dfb9610e4799e4a8c8514e433b07ec8691b7de59c39e62,0x2e68640482723c4f919981075c28c8aa9283a4df,7,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
21,0x2e68640482723c4f919981075c28c8aa9283a4df-8,FOR,7.290006259287163e+22,,14442999,1648044434,0x1d55678da37fe2986505a2bed080af19b883850f734057f402faa123e53898a3,0x2e68640482723c4f919981075c28c8aa9283a4df,8,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
22,0x2f0963e77ca6ac0c2dad1bf4147b6b40e0dd8728-4,FOR,2.9524707371705603e+24,,12036587,1615723769,0xf591740c535f15f679b5f325b9b168b50d61fbe5032ca3aa2b01847dd073207f,0x2f0963e77ca6ac0c2dad1bf4147b6b40e0dd8728,4,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
23,0x41552dd6cb63b225ff252d0368b549d0adf61038-3,FOR,3.2054e+23,,11908183,1614014695,0x46beaeba06f0c48201dc71f7097598c27d7dfe72c00d695183c8cf7ef8abf34b,0x41552dd6cb63b225ff252d0368b549d0adf61038,3,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
24,0x41552dd6cb63b225ff252d0368b549d0adf61038-4,FOR,2.9022621495768977e+23,,12038704,1615751679,0xda59c0b6245b7451503221347046cc01153a10652ee6e96a62b85059d71025b8,0x41552dd6cb63b225ff252d0368b549d0adf61038,4,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
25,0x41552dd6cb63b225ff252d0368b549d0adf61038-5,FOR,2.45417e+23,,13973861,1641764956,0x6989802a45d5da200a5682dcb1ddee70b3681578a1d00e9d6fa389f28e6855f8,0x41552dd6cb63b225ff252d0368b549d0adf61038,5,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
26,0x41552dd6cb63b225ff252d0368b549d0adf61038-6,FOR,2.20417e+23,,14397420,1647431651,0xf86a02f71d6e8fa265142bfb8bfa53c122d2e0c08cbf3f3a71f70ad2778ff281,0x41552dd6cb63b225ff252d0368b549d0adf61038,6,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
27,0x41552dd6cb63b225ff252d0368b549d0adf61038-7,FOR,2.20417e+23,,14438064,1647978256,0x3cf91170c605b24b839163ed0f4a55510bca73df0580eb17ff3a5e8a9482a595,0x41552dd6cb63b225ff252d0368b549d0adf61038,7,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
28,0x41552dd6cb63b225ff252d0368b549d0adf61038-8,FOR,2.20417e+23,,14438065,1647978268,0x117917db91771b706aeed044b779cc44b9b2b2eb90a03ff07e542e5e66a959c8,0x41552dd6cb63b225ff252d0368b549d0adf61038,8,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
29,0x459e978d5af10211181c5d8e75193170ea1ab89d-3,FOR,0.0,,11912093,1614067262,0x440459b3565e529beec7a950152ed334a16caeedb16f6ef3d94d837fb65aa368,0x459e978d5af10211181c5d8e75193170ea1ab89d,3,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
30,0x4613eeaa10746596db2043046d47b52f00604cf4-3,FOR,0.0,,11910192,1614041855,0x2c055f14389ef2af70583dae05b8cdddbe3afffbe3f8fb448dd63a4363cedd65,0x4613eeaa10746596db2043046d47b52f00604cf4,3,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
31,0x464d78a5c97a2e2e9839c353ee9b6d4204c90b0b-10,FOR,1.6510028466636802e+24,,15370346,1660899105,0x6302f1849b74da36a9e88efb118ff6e8bd911529c68aee946357a40dcb771e16,0x464d78a5c97a2e2e9839c353ee9b6d4204c90b0b,10,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
32,0x464d78a5c97a2e2e9839c353ee9b6d4204c90b0b-11,FOR,1.6510028466636802e+24,,15454473,1662057520,0xcf3006468438021027ee7e6c79255403fb17ec8a897b691610981dbee6c4e572,0x464d78a5c97a2e2e9839c353ee9b6d4204c90b0b,11,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
33,0x464d78a5c97a2e2e9839c353ee9b6d4204c90b0b-3,FOR,2.5e+24,,11906548,1613993203,0x2b76240853faac36fbd5650678eac28b9dba5eb307cc4062586eb7d85349093b,0x464d78a5c97a2e2e9839c353ee9b6d4204c90b0b,3,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
34,0x464d78a5c97a2e2e9839c353ee9b6d4204c90b0b-5,FOR,1.501e+24,,13959310,1641571929,0xe9737d59ae1513ebe8f40c5d0d4040fd2e0226026be37c976097cc426a8f4b0a,0x464d78a5c97a2e2e9839c353ee9b6d4204c90b0b,5,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
35,0x464d78a5c97a2e2e9839c353ee9b6d4204c90b0b-7,FOR,1.501e+24,,14443821,1648055292,0x54990fb8c8fd67fd5389d720511bd7477c93b6e88aea30db66ac73cae8d2e44a,0x464d78a5c97a2e2e9839c353ee9b6d4204c90b0b,7,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
36,0x464d78a5c97a2e2e9839c353ee9b6d4204c90b0b-8,FOR,1.501e+24,,14437018,1647964705,0x92921e10760028c9b7f314d475c3101c86bf77768e17bd67ec800c81c17b83e5,0x464d78a5c97a2e2e9839c353ee9b6d4204c90b0b,8,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
37,0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0-5,FOR,5e+21,,13973153,1641755616,0x2bc7eb8436231e030d7439bfccb96e8b827b9084b4a47626e79fde501d72fbeb,0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,5,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
38,0x4cfa2cb4f1e9c33cecda8796ef4b65b6a5fbc353-4,FOR,0.0,,12030795,1615646219,0x7c985649a57e3128ae38febfaee4f9d3add84595fb8cf4cf08e198be9c1d48ee,0x4cfa2cb4f1e9c33cecda8796ef4b65b6a5fbc353,4,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
39,0x4cfa2cb4f1e9c33cecda8796ef4b65b6a5fbc353-9,FOR,1.4570989879082749e+20,,15318113,1660185215,0xfe91e485756ee89d051fb871db31b837fad18fdf3a4a13e19dc745805c6f9ab9,0x4cfa2cb4f1e9c33cecda8796ef4b65b6a5fbc353,9,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
40,0x52217bad145a7a80d510f24a9572781d260f33d3-10,FOR,4.528361716768138e+22,,15370297,1660898398,0xd951f4ac599679e57a3b6e7b8f40b0b7b191c8b60e8208273eb098ad8884751b,0x52217bad145a7a80d510f24a9572781d260f33d3,10,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
41,0x52217bad145a7a80d510f24a9572781d260f33d3-11,FOR,4.528361716768138e+22,,15464622,1662198056,0xb5806fbfa74ba362d50bb4df033f619049321fc30247adab8afa5b84b4901a6a,0x52217bad145a7a80d510f24a9572781d260f33d3,11,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
42,0x52217bad145a7a80d510f24a9572781d260f33d3-6,FOR,3.028361716768138e+22,,14391874,1647356916,0x8a5bf51cec0b0de62e892029aeab0c539f2258e5dfb30fd36c35e602a6c4feb5,0x52217bad145a7a80d510f24a9572781d260f33d3,6,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
43,0x52217bad145a7a80d510f24a9572781d260f33d3-8,FOR,3.028361716768138e+22,,14441779,1648028432,0x9ad0bed0efc7246665391c2b0de0f22d63ddc3ecd716b06ba3eccb605bc5e1ba,0x52217bad145a7a80d510f24a9572781d260f33d3,8,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
44,0x54b7f8fe8d3aaeeb115d2ae1ac9ea5d6b824e2dc-3,FOR,0.0,,11911696,1614062286,0xb64c9956f0fe72a7bf00a9b76cb895ab46164762b457754325067f33aa44412e,0x54b7f8fe8d3aaeeb115d2ae1ac9ea5d6b824e2dc,3,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
45,0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6-3,FOR,0.0,,11907165,1614001242,0x88ca592c5e9fdf617cb20eae33132e20eb5cd03b54191465fb32767888b637a8,0x54becc7560a7be76d72ed76a1f5fee6c5a2a7ab6,3,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
46,0x5a27d268e830655e908a0a2c3b24f572695af5e8-3,FOR,0.0,,11907137,1614000950,0xa367ac281d343ef624abd9c7cd5b1a5654d19fafa4466e93f905ed3a668435ac,0x5a27d268e830655e908a0a2c3b24f572695af5e8,3,Radicle,0,"['FOR', 'AGAINST', 'ABSTAIN']"
