Unnamed: 0,Unnamed: 0.1,DAO Name,ENS,Voter Address,Voter Choice,Weight,block,Vote Time,Transaction Hash,Current Delegated Votes to Voter,Current Delegated Votes Raw to Voter,Voter Token Holders Represented,Proposal ID,Proposal State,Quorum Votes,Proposal Token Holders,Proposal Delegate Holders,Against Delegate Votes,For Delegate Votes,Abstain Delegate Votes,Total Delegate Votes,Against Weighted Votes,For Weighted Votes,Abstain Weighted Votes,Total Weighted Votes,Proposal Date Created,Proposal Date Start,Proposal Date End,Offchain?,Proposal Choices,DAO Token Supply,Voter Power
0,0.0,AaveV2,psychiatrist-psychotherapist.eth,0xe93bad1ced0d19a91aa4de6d682ef3942e2ffc1f,FOR,1.0848072771421578e+17,16046553,1669373903,0xb27d6356a5ab393138c6297175e7c822cadab2bad75eff1ecee6e5f5d0c43377,0.10848072771421577,1.0848072771421578e+17,0.0,124,EXECUTED,320000000000000000000000,139103,125927,14,161,0,175,2046523066605471176,488031192746819839088891,0,488033239269886444560067,1669262927,16044555.0,16063755.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,6.8e-09
1,1.0,AaveV2,19860626.eth,0xb33940cc5ef9bb56890c33581f7f6444823642f2,FOR,1.8945530927306704e+16,16046578,1669374203,0x257a5ee8745ec559a1539689f7bbdb1518cbd473ba14fb271e4e0db244c7c674,0.018945530927306702,1.8945530927306704e+16,0.0,121,EXECUTED,320000000000000000000000,138845,125676,10,192,0,202,2295143109987078635,536870693851514514703980,0,536872988994624501782615,1669156655,16035767.0,16054967.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,1.2e-09
2,2.0,AaveV2,,0xdfb59c6a9ffc0ff4e95fb19cb26ef1987c8f20b9,FOR,5e+16,16046578,1669374203,0x2a2ee4defaf81dbf5da7df36e7de4aab6ee581a1b11f5c02980230f76807be4b,0.05,5e+16,0.0,124,EXECUTED,320000000000000000000000,139103,125927,14,161,0,175,2046523066605471176,488031192746819839088891,0,488033239269886444560067,1669262927,16044555.0,16063755.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,3.1e-09
3,3.0,AaveV2,urbans.eth,0x8dcdb2db0268cde7b5c55492ef31e4fa3d187ac8,FOR,2.2544421152904592e+17,16046588,1669374323,0x1b8df2d66d6f27a782c6089528133d998fc0c11512190a10a70d2fbc8cfb94e5,0.2254442115290459,2.2544421152904592e+17,0.0,123,EXECUTED,320000000000000000000000,138857,125686,38,256,0,294,12216631543268498578,567025741931418344691185,0,567037958562961613189763,1669172867,16037113.0,16056313.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,1.41e-08
4,4.0,AaveV2,kalistofff.eth,0x6626658ebf27c394bde3dc91cd136afaede7ffe9,FOR,7.53289872722455e+16,16046613,1669374623,0x4e53747b7b26810c57907397036a5cb24ee5ac6a40acec5505f4f9e40e6cc18a,0.0753289872722455,7.53289872722455e+16,0.0,123,EXECUTED,320000000000000000000000,138857,125686,38,256,0,294,12216631543268498578,567025741931418344691185,0,567037958562961613189763,1669172867,16037113.0,16056313.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,4.7e-09
5,5.0,AaveV2,ec6877.eth,0xa97d4048b71975a475766e8278dcd2da1e8674fa,FOR,1.3437371579108888e+16,16046637,1669374911,0x5e3033a1e66566d7d02ac4b84de53ba1ea2b553724705d7a0bb082698a1ff1ac,0.013437371579108888,1.3437371579108888e+16,1.0,124,EXECUTED,320000000000000000000000,139103,125927,14,161,0,175,2046523066605471176,488031192746819839088891,0,488033239269886444560067,1669262927,16044555.0,16063755.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,8e-10
6,6.0,AaveV2,orchis.eth,0xe23897619e6669836d2fbd1595f0119b93fded5d,FOR,1.498e+17,16046672,1669375331,0x52fd7321c481a45148dfde2ccf903dfb4dd3b73faec81421c978775be739d9b7,0.1498,1.498e+17,1.0,122,EXECUTED,320000000000000000000000,138858,125687,18,151,0,169,14056839166924856266,566995654574388015658020,0,567009711413554940514286,1669172807,16037108.0,16056308.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,9.4e-09
7,7.0,AaveV2,orchis.eth,0xe23897619e6669836d2fbd1595f0119b93fded5d,FOR,1.498e+17,16046687,1669375511,0x50276747e4ad606d7af83d4662c8fa70a7486c46e9a8086170d458c8bb596d93,0.1498,1.498e+17,1.0,124,EXECUTED,320000000000000000000000,139103,125927,14,161,0,175,2046523066605471176,488031192746819839088891,0,488033239269886444560067,1669262927,16044555.0,16063755.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,9.4e-09
8,8.0,AaveV2,orchis.eth,0xe23897619e6669836d2fbd1595f0119b93fded5d,FOR,1.498e+17,16046689,1669375535,0xaaaf66800eaa0b5147de19ac752421cd8929f26dd5e282e677d9b15f766c088b,0.1498,1.498e+17,1.0,123,EXECUTED,320000000000000000000000,138857,125686,38,256,0,294,12216631543268498578,567025741931418344691185,0,567037958562961613189763,1669172867,16037113.0,16056313.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,9.4e-09
9,9.0,AaveV2,defigenerate.eth,0x14ff0bc9417b6796f79768729002a793b51205b8,FOR,1.1179778525051132e+18,16046736,1669376099,0x69b7119f92ecba17ac23362ba9d286baca02565f6e2efd8e490b1bc007120590,1.1179778525051134,1.1179778525051132e+18,0.0,121,EXECUTED,320000000000000000000000,138845,125676,10,192,0,202,2295143109987078635,536870693851514514703980,0,536872988994624501782615,1669156655,16035767.0,16054967.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,6.99e-08
