Unnamed: 0,DAO Name,ENS,Voter Address,Voter Choice,Weight,block,Vote Time,Transaction Hash,Current Delegated Votes to Voter,Current Delegated Votes Raw to Voter,Voter Token Holders Represented,Proposal ID,Proposal State,Quorum Votes,Proposal Token Holders,Proposal Delegate Holders,Against Delegate Votes,For Delegate Votes,Abstain Delegate Votes,Total Delegate Votes,Against Weighted Votes,For Weighted Votes,Abstain Weighted Votes,Total Weighted Votes,Proposal Date Created,Proposal Date Start,Proposal Date End,Offchain?,Proposal Choices,DAO Token Supply,Voter Power
0,CompoundBravo,ethto1w.eth,0xcbe7009dd3d2c48fb291a015275db1225cbefe98,FOR,7.394702819738228e+17,16050975,1669427267,0xef546653e9e19c77bf8c6168b17071e83ae6b188d1cb4133d8f97825b8888631,0.7394702819738228,7.394702819738228e+17,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,7.39e-08
1,CompoundBravo,foolsogood.eth,0x1c05decb151a459e8b045a93f472d1b238204094,FOR,1.2e+17,16051077,1669428491,0xa68f92738a77e130b953f5e3d44a6d87ca9a584c6e5511fa86469442bee92eb4,0.12,1.2e+17,2.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,1.2e-08
2,CompoundBravo,pplmaverick.eth,0x52905a5e83a83f6a9d0e64ad24e79a37512d35b9,FOR,1.1550219148187082e+17,16051205,1669430051,0xe3014ca003b44a808333096b9373708f6af527cbc78dc2172dc70c0c25667b2c,0.17833149561158726,1.7833149561158723e+17,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,1.16e-08
3,CompoundBravo,olddegen.eth,0x77ad0d6e27eacb4f54df32bcb1b7b8f779bcb5f1,FOR,1.5168142477997446e+17,16051280,1669430951,0xc5f70ff8b437c4aaf7de9e075c3e232e714b6fb549dfd1e0b1fbe941a069c9f6,0.15168142477997446,1.5168142477997446e+17,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,1.52e-08
4,CompoundBravo,jacobwhale.eth,0xc9b9c3ff532e0c247cbdd0b5d3cfa9829689fd7f,FOR,9.002416250710798e+16,16051280,1669430951,0x0accff664300167673c38459e416d8b2a19fc9ddec65606457c6f91d9c21c366,0.09002416250710799,9.002416250710798e+16,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,9e-09
5,CompoundBravo,meleeugen.eth,0x6bd032e99440eb400bb783a162869e07cb377dd4,FOR,1.1060230942479786e+17,16051304,1669431239,0xf12a9df8965f53bda6706eebb31eff05b039ae799a9bc6b2a0f7850f8967c39e,0.11060230942479783,1.1060230942479786e+17,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,1.11e-08
6,CompoundBravo,aaacat.eth,0x9a88005428e7a98904eab33749afd56f6db16e27,FOR,2.1e+17,16051310,1669431311,0x8b605b9611e4cc060af0bd7194d18940b79d19c6d71ee62479cd65438e1e206c,0.21,2.1e+17,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,2.1e-08
7,CompoundBravo,lagrangedot.eth,0xcb7958ddf673aa8f21614346d3e1c46182a9454d,FOR,1.3810846882992538e+17,16051342,1669431695,0x148cde7b980071b8219cecd30eb4448f59878209132a9a27b51ff1b091e5dc25,0.13810846882992536,1.3810846882992538e+17,2.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,1.38e-08
8,CompoundBravo,m6cat.eth,0xdb95d92ab6c7cbe8e95ed07d52ff3147ea015aac,FOR,2e+17,16051352,1669431815,0x4f25ae9205e420350c4f388308fa0a25608431dfb0147f7a377729615fd18104,0.2,2e+17,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,2e-08
9,CompoundBravo,qq333.eth,0xb5564b1a37d52fee291081964973eac0e9f08dee,FOR,2e+17,16051386,1669432223,0xc587747316dfe0c4ef262f2c383e572cc773aa297ad2cbda7933686d08e8262c,0.2,2e+17,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,2e-08
10,CompoundBravo,daomu.eth,0x5574d6f75a59945a3d2e056d048816e11ce12bf8,FOR,1.5127776642558774e+17,16051412,1669432547,0x396c04defa0fbacf5b986edae7178b4fc9ea9835eb548c09d3b3d480a2c10890,0.15127776642558774,1.5127776642558774e+17,2.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,1.51e-08
11,CompoundBravo,709631.eth,0x32791bbc7ddc9d0e6bd914f3b7f73747132a3a5b,FOR,3.547319203046032e+16,16051419,1669432631,0x89d5f0651dddb24af6d31c50e995feeb74900e27fa412146abd3156d2e597615,0.035473192030460315,3.547319203046032e+16,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,3.5e-09
12,CompoundBravo,timfame.eth,0xc474a9a00e56c3bf947c71edd1515dad5706d3d5,FOR,1.503982621311718e+17,16051583,1669434611,0x8287c8f77fcab2f199ded85deca80f286632021f9d07607e70fa94c9455bd92d,0.1503982621311718,1.503982621311718e+17,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,1.5e-08
13,CompoundBravo,,0xfcd0f7d8aa1e0b3602f0ab4973bfcf6e5be73714,FOR,1.278067252398045e+18,16051882,1669438199,0x77ae5370073c37cc3edb8a984306ead578fdfd2725f0d9289af100a3c4b48b7a,1.278067252398045,1.278067252398045e+18,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,1.278e-07
14,CompoundBravo,比特币联合创始人.eth,0x17ebee050c312567ad0038c0a703779401cb0fe0,FOR,1.5370929372375948e+16,16051900,1669438415,0xd77681d4e8ee8517870d82408a8ae93b37491caa251f7f0d9fe9362d5f2a93e5,0.015370929372375946,1.5370929372375948e+16,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,1.5e-09
15,CompoundBravo,casea.eth,0x7d55507f7d96b373706c0131fffbc4ffdcb3b6f6,FOR,3.623391514410032e+16,16052089,1669440695,0x865460e2d13b4f52b950bd2759f70506cf2983e833bd15133be2cc5b56d7e4ed,0.10847621748394903,1.0847621748394904e+17,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,3.6e-09
