DAO Name,ENS,Voter Address,Voter Choice,Weight,block,Vote Time,Transaction Hash,Current Delegated Votes to Voter,Current Delegated Votes Raw to Voter,Voter Token Holders Represented,Proposal ID,Proposal State,Quorum Votes,Proposal Token Holders,Proposal Delegate Holders,Against Delegate Votes,For Delegate Votes,Abstain Delegate Votes,Total Delegate Votes,Against Weighted Votes,For Weighted Votes,Abstain Weighted Votes,Total Weighted Votes,Proposal Date Created,Proposal Date Start,Proposal Date End,Offchain?,Proposal Choices,DAO Token Supply,Voter Power
UniswapV2,defilatam.eth,0x0087a081a9b430fd8f688c6ac5dd24421bfb060d,FOR,0.0,13057201,1629395939,0x9e7995f61824ec67eb1e7464d5fe37bcef1d624c81ea99a301ade83d4cd7dc02,0.0,0.0,0,2,CANCELED,40000000000000000000000000,0,0,56,65,0,121,46988496519680727549985073,47624543872597049654660876,0,94613040392277777204645949,1628903183,13020266,13060586,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,0.0
UniswapV2,dappswap.eth,0x02446a7eda8401db1e3ad37060042b14910350f0,FOR,1.15e+18,12688968,1624431648,0x4fbec625723c7e51385a4a45bf7f2d549306fee2f087357e9cff5b059f667045,0.0,0.0,0,1,EXECUTED,40000000000000000000000000,0,0,60,236,0,296,15040585200987765769783143,79681051656290186540450301,0,94721636857277952310233444,1624399656,12686657,12726977,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,1.2e-09
UniswapV2,,0x0251a94286c3a2cfebefd2558b916b7a6c180476,FOR,5.794e+19,13027750,1629003798,0xa7f5b702456b35be7725ab71c946e346c98aed5d82c07f53c9ae3ac60feb18cc,0.0,0.0,0,2,CANCELED,40000000000000000000000000,0,0,56,65,0,121,46988496519680727549985073,47624543872597049654660876,0,94613040392277777204645949,1628903183,13020266,13060586,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,5.79e-08
UniswapV2,,0x02babb5826d85c6a6354b923e94e7e9bb2643507,AGAINST,3e+17,12714614,1624776692,0x93489790ddc9a3504013abe54dc75a2ac540eaa88809363f96c6de3144107cde,0.0,0.0,0,1,EXECUTED,40000000000000000000000000,0,0,60,236,0,296,15040585200987765769783143,79681051656290186540450301,0,94721636857277952310233444,1624399656,12686657,12726977,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,3e-10
UniswapV2,,0x03ce77d68c5ef952d91ff53c336ffa260f43caa0,AGAINST,6.328504050559886e+16,13054377,1629358360,0x062b6775fa86bdfa2b223781bb954d2ad5e06197631aa9ba7817fd40e8ffce9e,0.0,0.0,0,2,CANCELED,40000000000000000000000000,0,0,56,65,0,121,46988496519680727549985073,47624543872597049654660876,0,94613040392277777204645949,1628903183,13020266,13060586,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,1e-10
UniswapV2,,0x03da98f5e26cdcae4b8cdd504480a9f801ded4f7,FOR,1.1e+18,12712966,1624755113,0x81c2d35523b6106d760e5d913e9a9d8c2d1261af097318be17c1d4a3db311336,0.0,0.0,0,1,EXECUTED,40000000000000000000000000,0,0,60,236,0,296,15040585200987765769783143,79681051656290186540450301,0,94721636857277952310233444,1624399656,12686657,12726977,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,1.1e-09
UniswapV2,,0x0456b014da02c47c722742426192f8a0f4114923,AGAINST,3e+17,12714617,1624776718,0x4e3b8fcc2fcce613b6fbb2ab9b439cebae4c3f3440070358f24bffcf3ffebbfa,0.0,0.0,0,1,EXECUTED,40000000000000000000000000,0,0,60,236,0,296,15040585200987765769783143,79681051656290186540450301,0,94721636857277952310233444,1624399656,12686657,12726977,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,3e-10
UniswapV2,wanheda.eth,0x045b55b4dcb121aa3e16e34cf7279ecc5477d406,AGAINST,4.784361979986504e+19,12691531,1624466910,0x8c23c61d5d7738851c13e7e759e38105240b2dcfe510ed9bc0e6936a18c5922f,0.0,0.0,0,1,EXECUTED,40000000000000000000000000,0,0,60,236,0,296,15040585200987765769783143,79681051656290186540450301,0,94721636857277952310233444,1624399656,12686657,12726977,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,4.78e-08
UniswapV2,eyezwideshut.eth,0x04bcc6644c694608be74fe716c37da670183e0f4,FOR,1e+19,12686754,1624400947,0x2f50259fa26fa6492a040261c859ee0f5faf6456f6b48db43cd26c6b5a7fa8bb,0.0,0.0,0,1,EXECUTED,40000000000000000000000000,0,0,60,236,0,296,15040585200987765769783143,79681051656290186540450301,0,94721636857277952310233444,1624399656,12686657,12726977,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,1e-08
UniswapV2,,0x055d3306067a1e0ea6b1ee2c838f2d5f2457ed43,FOR,1.1e+18,12712986,1624755481,0x504370084f057378634859ea394596900e9f127e2d8b10ab5e17cf10074333a0,0.0,0.0,0,1,EXECUTED,40000000000000000000000000,0,0,60,236,0,296,15040585200987765769783143,79681051656290186540450301,0,94721636857277952310233444,1624399656,12686657,12726977,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,1.1e-09
UniswapV2,pandexiu.eth,0x0598cc55d185e1cd261efb952a0f3052a688be4c,FOR,6e+16,13091381,1629852195,0xa45da1d6d86379022221ac489f6eba44b7183e905f282f8c1adf3b3e37fbb326,0.0,0.0,0,3,EXECUTED,40000000000000000000000000,0,0,4,97,0,101,2433523276737171944437,63461681996566242944785318,0,63464115519842980116729755,1629424768,13059344,13099664,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,1e-10
UniswapV2,,0x067b9bbbbc42d2ab9b9ab6bb62646daf7f344a76,FOR,1.301497975e+24,12718798,1624833295,0xfd01dbf58e28ebf926067450ab0592848756cc1b10a03fdb678f08669041659d,0.0,0.0,0,1,EXECUTED,40000000000000000000000000,0,0,60,236,0,296,15040585200987765769783143,79681051656290186540450301,0,94721636857277952310233444,1624399656,12686657,12726977,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,0.001301498
UniswapV2,,0x067b9bbbbc42d2ab9b9ab6bb62646daf7f344a76,AGAINST,1.301497975e+24,13055827,1629377862,0x49bd8b9e5aa8c6f2902290da22f94499ba4660ed3e2ff34f752ed3083bbec22a,0.0,0.0,0,2,CANCELED,40000000000000000000000000,0,0,56,65,0,121,46988496519680727549985073,47624543872597049654660876,0,94613040392277777204645949,1628903183,13020266,13060586,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,0.001301498
UniswapV2,zk-outcome.eth,0x06d13d1562eb9da28c59e86e9bfc2a87d13afb01,FOR,1.774131424876078e+20,12691181,1624462299,0x8131edc8770e1fea56d3bf0f88f6297719f3134d25db57544dae53d07f15be8c,0.0,0.0,0,1,EXECUTED,40000000000000000000000000,0,0,60,236,0,296,15040585200987765769783143,79681051656290186540450301,0,94721636857277952310233444,1624399656,12686657,12726977,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,1.774e-07
UniswapV2,franklindao.eth,0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,FOR,3e+24,12686717,1624400512,0x79117a731a46592afc0aa3c325e3aacf77ef142f9d7190811ccdcb8099a44cb4,0.0,0.0,0,1,EXECUTED,40000000000000000000000000,0,0,60,236,0,296,15040585200987765769783143,79681051656290186540450301,0,94721636857277952310233444,1624399656,12686657,12726977,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,0.003
UniswapV2,franklindao.eth,0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,FOR,3e+24,13037702,1629136693,0x25603e46a1aa628131910297bddd5e717132ca930cd2612a42dba1369e2e2032,0.0,0.0,0,2,CANCELED,40000000000000000000000000,0,0,56,65,0,121,46988496519680727549985073,47624543872597049654660876,0,94613040392277777204645949,1628903183,13020266,13060586,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,0.003
UniswapV2,franklindao.eth,0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,FOR,3e+24,13063676,1629483387,0x83d47333cdfa520052d1fe89b36ce14e8de32d465e1f744deb90ccc34af25dbe,0.0,0.0,0,3,EXECUTED,40000000000000000000000000,0,0,4,97,0,101,2433523276737171944437,63461681996566242944785318,0,63464115519842980116729755,1629424768,13059344,13099664,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,0.003
UniswapV2,,0x074383b6f6d71d258039f20d5b789414a7535a75,FOR,1.0266e+20,12700411,1624585165,0x22ed5a2c8867977a4f9bc28e7de7e78254fc639e305b8007e3bf247ec8b31b51,0.0,0.0,0,1,EXECUTED,40000000000000000000000000,0,0,60,236,0,296,15040585200987765769783143,79681051656290186540450301,0,94721636857277952310233444,1624399656,12686657,12726977,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,1.027e-07
UniswapV2,,0x074383b6f6d71d258039f20d5b789414a7535a75,FOR,2.66e+18,13065829,1629510673,0x1f2464224155ed24358d8b57effac3b949d5d74dc1ad236f406ba18ef52d96e3,0.0,0.0,0,3,EXECUTED,40000000000000000000000000,0,0,4,97,0,101,2433523276737171944437,63461681996566242944785318,0,63464115519842980116729755,1629424768,13059344,13099664,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,2.7e-09
UniswapV2,tino.eth,0x07a1f6fc89223c5ebd4e4ddae89ac97629856a0f,FOR,88.0,12687942,1624417366,0x0605045025ab0f5790bb9ebd2d45c6ce631e20d411f0e2f78e0e94e1194c4e7c,0.0,0.0,0,1,EXECUTED,40000000000000000000000000,0,0,60,236,0,296,15040585200987765769783143,79681051656290186540450301,0,94721636857277952310233444,1624399656,12686657,12726977,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,0.0
UniswapV2,punk3106.eth,0x09a572f21b4e8d51c3edb6bd509a7abed610ac85,FOR,2.99e+18,13028443,1629013237,0xe0b1d35b1065bef262c43f12dadfde15a18d418f027f17483f907614915402f9,0.0,0.0,0,2,CANCELED,40000000000000000000000000,0,0,56,65,0,121,46988496519680727549985073,47624543872597049654660876,0,94613040392277777204645949,1628903183,13020266,13060586,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,3e-09
UniswapV2,punk3106.eth,0x09a572f21b4e8d51c3edb6bd509a7abed610ac85,FOR,2.99e+18,13062028,1629461142,0x8b6fc99b38627611b41f5ea38529a33bc11bf4762ca6892c49265dbe8955ff31,0.0,0.0,0,3,EXECUTED,40000000000000000000000000,0,0,4,97,0,101,2433523276737171944437,63461681996566242944785318,0,63464115519842980116729755,1629424768,13059344,13099664,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,3e-09
UniswapV2,,0x09d46915731c599215777a4afac838162782c6e4,FOR,1.21e+18,12712986,1624755481,0x98a26bdeaf195aa1ca61df81b95cfff32ebb3933ab6101148aae60d897b47fa4,0.0,0.0,0,1,EXECUTED,40000000000000000000000000,0,0,60,236,0,296,15040585200987765769783143,79681051656290186540450301,0,94721636857277952310233444,1624399656,12686657,12726977,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,1.2e-09
UniswapV2,darkforester.eth,0x0afa4426ea10c8d60091e7e43d728764a80d692a,FOR,1.0228e+18,12694199,1624501636,0x7b354347a6262d6f9bb821c74efc882b79486df5644cdde3b405aec639067304,0.0,0.0,0,1,EXECUTED,40000000000000000000000000,0,0,60,236,0,296,15040585200987765769783143,79681051656290186540450301,0,94721636857277952310233444,1624399656,12686657,12726977,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,1e-09
UniswapV2,,0x0b6e79ba994cf84969bc73104818229612526dae,FOR,4.770033961186629e+18,13066729,1629523042,0xbebf89f5181ab511ef6a140d03b882e09b89a70548816acce0f5697adf991454,0.0,0.0,0,3,EXECUTED,40000000000000000000000000,0,0,4,97,0,101,2433523276737171944437,63461681996566242944785318,0,63464115519842980116729755,1629424768,13059344,13099664,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,4.8e-09
UniswapV2,,0x0b9a0bea83d75b1a223292991d0a420bea8b6ff1,FOR,0.0,13091988,1629860504,0x9afb505d20f98fc8dab58336b4a9945a1650fbf4153303cc77c73185ee4782fa,0.0,0.0,0,3,EXECUTED,40000000000000000000000000,0,0,4,97,0,101,2433523276737171944437,63461681996566242944785318,0,63464115519842980116729755,1629424768,13059344,13099664,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,0.0
UniswapV2,hiturunk.eth,0x0be0ecc301a1c0175f07a66243cff628c24db852,FOR,3.6583687302287757e+21,12705932,1624660777,0x82ef08e6a8a602fe4411c869410e44bf4f72fa918c443aa029453bec91af775a,0.0,0.0,0,1,EXECUTED,40000000000000000000000000,0,0,60,236,0,296,15040585200987765769783143,79681051656290186540450301,0,94721636857277952310233444,1624399656,12686657,12726977,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,3.6584e-06
UniswapV2,mumum.eth,0x0d2c3f45b2b3aff2312f9514a89415a0f83f481d,FOR,1e+18,13095156,1629903046,0x96e8a8ba524bf5b2c1f8eefec4be6207c6af3702e868e87973fd2052e9cf9bb9,0.0,0.0,0,3,EXECUTED,40000000000000000000000000,0,0,4,97,0,101,2433523276737171944437,63461681996566242944785318,0,63464115519842980116729755,1629424768,13059344,13099664,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,1e-09
UniswapV2,,0x0ddbdef89e42fa1bfa468ce1361cb6959f15302d,AGAINST,4.01087179e+20,13055678,1629375956,0x95203ddfc1f4cf2ca26be763a4e53b6224428f6359655e7ba919eccffcc41e7a,0.0,0.0,0,2,CANCELED,40000000000000000000000000,0,0,56,65,0,121,46988496519680727549985073,47624543872597049654660876,0,94613040392277777204645949,1628903183,13020266,13060586,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,4.011e-07
UniswapV2,,0x0ec07259e0cec1a4894c0c475da711701a03af33,AGAINST,4e+20,12711074,1624729775,0x2d39d3b8b028200d5a90da31c780648e92996426fe363ef7bb28956f3e41ccc1,0.0,0.0,0,1,EXECUTED,40000000000000000000000000,0,0,60,236,0,296,15040585200987765769783143,79681051656290186540450301,0,94721636857277952310233444,1624399656,12686657,12726977,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,4e-07
UniswapV2,,0x0f497f082539a8d92ea1c0573456fbcd9f2e4b33,FOR,1.148861902850898e+20,13046526,1629253310,0x6256077a19ee6079d8367da8157c9ec864227e9b4e481ccc265c46df61b4425d,0.0,0.0,0,2,CANCELED,40000000000000000000000000,0,0,56,65,0,121,46988496519680727549985073,47624543872597049654660876,0,94613040392277777204645949,1628903183,13020266,13060586,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,1.149e-07
UniswapV2,zakk1115.eth,0x0f8361ef329b43fa48ac66a7cd8f619c517274f1,FOR,0.0,13051185,1629315939,0xd26400d6f14aa3bdb8dd8a3c187e0a37250d92ed5221e8a9f36d6253a2fc755c,0.0,0.0,0,2,CANCELED,40000000000000000000000000,0,0,56,65,0,121,46988496519680727549985073,47624543872597049654660876,0,94613040392277777204645949,1628903183,13020266,13060586,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+27,0.0
