DAO Name,ENS,Voter Address,Voter Choice,Weight,block,Vote Time,Transaction Hash,Current Delegated Votes to Voter,Current Delegated Votes Raw to Voter,Voter Token Holders Represented,Proposal ID,Proposal State,Quorum Votes,Proposal Token Holders,Proposal Delegate Holders,Against Delegate Votes,For Delegate Votes,Abstain Delegate Votes,Total Delegate Votes,Against Weighted Votes,For Weighted Votes,Abstain Weighted Votes,Total Weighted Votes,Proposal Date Created,Proposal Date Start,Proposal Date End,Offchain?,Proposal Choices,DAO Token Supply,Voter Power
Unlock,,0x0235545f679b133543607c66988d60d772c10d4f,FOR,0.0,14715958,1651735892,0x22dec5f7c4f4f80e4ef33bc32ed36f2d513519158ee09aaa151dd1c5cf847f62,0.0,0.0,1,29770955241146343676364752344923469368290286625509522136314719298932050983569,EXECUTED,12500000000000000000000,4471,60,1,14,1,16,1000000000000000000000,15438964824814911550765,11793671483041187463,16450758496297952738228,1650876233,14697784,14743602,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.0008170232533666e+24,0.0
Unlock,,0x0235545f679b133543607c66988d60d772c10d4f,FOR,0.0,14499001,1648798269,0xae50b31761e4dcd41e50f2983e35db3c438d0703e604ec15c4d95888af9f411d,0.0,0.0,1,91388393958346767282436830202582381357138252819862358258168352110789792788073,ACTIVE,15000000000000000000000,4429,58,1,20,0,21,6689615073789775727310,8786766398372572679004,0,15476381472162348406314,1648761745,14496339,14542157,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.0008170232533666e+24,0.0
Unlock,,0x08a5678b176fbdb6c8b917ebb4922b4979f5324c,FOR,0.0,14391199,1647347917,0xf7b5fca02198a4595ca16c204d6f78ae5bd31652706b26f2f7b172a46880cbce,0.0,0.0,0,37202134190166629205488218948304157165039720629385438272490277472742730829605,ACTIVE,15000000000000000000000,4456,57,2,16,2,20,2000000000000000000000,12975460457360451628899,352641487469868836726,15328101944830320465625,1646853372,14354417,14400235,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.0008170232533666e+24,0.0
Unlock,,0x0d8410643ae7a4d833c7219e5c6fadfa5ce912cd,FOR,6.689615073789776e+21,14725135,1651861912,0xb1ae2269fd50c5f188baebb3233a4983e58a6c47bad5421d6376906779f3e3f4,6689.615073789775,6.689615073789776e+21,1,29770955241146343676364752344923469368290286625509522136314719298932050983569,EXECUTED,12500000000000000000000,4471,60,1,14,1,16,1000000000000000000000,15438964824814911550765,11793671483041187463,16450758496297952738228,1650876233,14697784,14743602,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.0008170232533666e+24,0.006684154
Unlock,,0x0d8410643ae7a4d833c7219e5c6fadfa5ce912cd,FOR,7.078415073789776e+21,14389172,1647320516,0x280e0f6a6432ddca1d9f256332e28f888896ea662fee9e49bca4a5be2cfc5abe,6689.615073789775,6.689615073789776e+21,1,37202134190166629205488218948304157165039720629385438272490277472742730829605,ACTIVE,15000000000000000000000,4456,57,2,16,2,20,2000000000000000000000,12975460457360451628899,352641487469868836726,15328101944830320465625,1646853372,14354417,14400235,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.0008170232533666e+24,0.0070726366
Unlock,,0x0d8410643ae7a4d833c7219e5c6fadfa5ce912cd,FOR,6.689615073789776e+21,14581093,1649906257,0xd097dc7fcf8b3a59f6ec19acb430b04579b0902edc7769245b73fd4d878a4622,6689.615073789775,6.689615073789776e+21,1,39335423757678407494012147266243241572636472001736295858554576648791252204504,EXECUTED,15000000000000000000000,4419,60,0,18,0,18,0,16905531646423477976405,0,16905531646423477976405,1649725303,14567709,14613527,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.0008170232533666e+24,0.006684154
Unlock,,0x0d8410643ae7a4d833c7219e5c6fadfa5ce912cd,AGAINST,6.689615073789776e+21,14522110,1649110215,0xa79a54108065e7d03b03aa212aae98b57ea4ee079c9479f6571b6a73427115ae,6689.615073789775,6.689615073789776e+21,1,91388393958346767282436830202582381357138252819862358258168352110789792788073,ACTIVE,15000000000000000000000,4429,58,1,20,0,21,6689615073789775727310,8786766398372572679004,0,15476381472162348406314,1648761745,14496339,14542157,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.0008170232533666e+24,0.006684154
Unlock,,0x0ec462f19a065fd401b115e922556de45cad9657,FOR,3.776756547850657e+20,14699263,1651507090,0x84b6788d1a6ac113345ad01bef9b7261fca288174b896d309c40f171d9586a92,344.6756547850657,3.446756547850657e+20,7,29770955241146343676364752344923469368290286625509522136314719298932050983569,EXECUTED,12500000000000000000000,4471,60,1,14,1,16,1000000000000000000000,15438964824814911550765,11793671483041187463,16450758496297952738228,1650876233,14697784,14743602,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.0008170232533666e+24,0.0003773673
Unlock,,0x0ec462f19a065fd401b115e922556de45cad9657,FOR,3.776756547850657e+20,14392322,1647362444,0x85f6b11b4aba030bd5a8070164a514c092264bfd3e114b67bb44a1a17474c76e,344.6756547850657,3.446756547850657e+20,7,37202134190166629205488218948304157165039720629385438272490277472742730829605,ACTIVE,15000000000000000000000,4456,57,2,16,2,20,2000000000000000000000,12975460457360451628899,352641487469868836726,15328101944830320465625,1646853372,14354417,14400235,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.0008170232533666e+24,0.0003773673
Unlock,,0x15b19688c6134c3539ffb97690486919bd84d60d,FOR,0.0,14396964,1647425251,0xde120e04b7306ea4e2de1873024455954d71d2fc71a072e065cd4dae64c6d634,0.0,0.0,0,37202134190166629205488218948304157165039720629385438272490277472742730829605,ACTIVE,15000000000000000000000,4456,57,2,16,2,20,2000000000000000000000,12975460457360451628899,352641487469868836726,15328101944830320465625,1646853372,14354417,14400235,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.0008170232533666e+24,0.0
Unlock,,0x172059839d80773ec8617c4cb33835175d364cee,FOR,1e+21,14582148,1649920400,0x3dba001ca09713e95ca197febc555dcdeb047df2be26efe52a8e4e37510cf39d,1000.0,1e+21,2,39335423757678407494012147266243241572636472001736295858554576648791252204504,EXECUTED,15000000000000000000000,4419,60,0,18,0,18,0,16905531646423477976405,0,16905531646423477976405,1649725303,14567709,14613527,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.0008170232533666e+24,0.0009991836
Unlock,dadababa.eth,0x1ccb144b700ec726d37db38c617e154de6d9c0d0,FOR,0.0,14596238,1650110780,0x9c8950563dda8e05a3c6c547c7b73fd8c96e1273415f9572420493da569e1a99,0.0,0.0,0,39335423757678407494012147266243241572636472001736295858554576648791252204504,EXECUTED,15000000000000000000000,4419,60,0,18,0,18,0,16905531646423477976405,0,16905531646423477976405,1649725303,14567709,14613527,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.0008170232533666e+24,0.0
Unlock,metafluff.eth,0x26d3be736ab6b5d8a3266ffcc0895ddc1bc19a38,FOR,0.0,14507222,1648909206,0x8db9c7ad31b25d0f840b8c0cb3b463217588704e659643d266b0f0625a2d0251,0.0,0.0,0,91388393958346767282436830202582381357138252819862358258168352110789792788073,ACTIVE,15000000000000000000000,4429,58,1,20,0,21,6689615073789775727310,8786766398372572679004,0,15476381472162348406314,1648761745,14496339,14542157,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.0008170232533666e+24,0.0
Unlock,,0x3ed38864ccde972f07bf7b4f63149ee5a12dcdff,FOR,0.0,14577053,1649852256,0xc10080b07466583e78895eba47bd8077e6e973ac66b95ffa59007966a8b8f9e9,0.0,0.0,0,39335423757678407494012147266243241572636472001736295858554576648791252204504,EXECUTED,15000000000000000000000,4419,60,0,18,0,18,0,16905531646423477976405,0,16905531646423477976405,1649725303,14567709,14613527,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.0008170232533666e+24,0.0
Unlock,,0x437e0d87f09dd086ba55e7d29a1838e156ba928f,FOR,0.0,14358467,1646906706,0x5383c893f2a8aed4f536071da2c95d2e1cba0e35a629a8cf963197b9b57b0f9c,0.0,0.0,0,37202134190166629205488218948304157165039720629385438272490277472742730829605,ACTIVE,15000000000000000000000,4456,57,2,16,2,20,2000000000000000000000,12975460457360451628899,352641487469868836726,15328101944830320465625,1646853372,14354417,14400235,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.0008170232533666e+24,0.0
Unlock,ceresstation.eth,0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,FOR,1e+21,14742925,1652106499,0x924e0725757a31c3d6afd3480dfe35b778e524f0fa7fde52ebee876c5b554d28,1000.0,1e+21,1,29770955241146343676364752344923469368290286625509522136314719298932050983569,EXECUTED,12500000000000000000000,4471,60,1,14,1,16,1000000000000000000000,15438964824814911550765,11793671483041187463,16450758496297952738228,1650876233,14697784,14743602,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.0008170232533666e+24,0.0009991836
Unlock,ceresstation.eth,0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,FOR,1e+21,14578309,1649868868,0xbe70045903f88bc6cb930c27bb5ff273da1d64ee97902c4595f1c28163060612,1000.0,1e+21,1,39335423757678407494012147266243241572636472001736295858554576648791252204504,EXECUTED,15000000000000000000000,4419,60,0,18,0,18,0,16905531646423477976405,0,16905531646423477976405,1649725303,14567709,14613527,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.0008170232533666e+24,0.0009991836
